State,beta_min,beta_max,beta_opt,gamma_min,gamma_max,gamma_opt,R0_min,R0_max,R0_opt,N_min,N_max,N_opt,C_inf,T_start,T_end,data points dropped
MT,0.302290496,0.38974275,0.342477217,0.097202723,0.184081667,0.135780716,2.117227406,3.109897397,2.52228172,489,557,516,464,737862,737927,0
NC,0.067037354,0.395872541,0.128467647,0.016761166,0.347374989,0.07882478,1.139611526,3.999563957,1.629787561,44382,175639,67044,44726,737854,737927,0
ND,0.091744759,0.760242569,0.160053599,0.022964646,0.694689759,0.091803046,1.094362712,3.995043403,1.743445415,3284,18065,4581,3285,737862,737927,0
NE,0.149161282,0.71355793,0.292119325,0.037330917,0.603985473,0.181229582,1.181415715,3.995650098,1.611874412,3693,12168,5733,3739,737857,737900,27
NH,0.083050981,0.781107146,0.196205903,0.020778161,0.720595375,0.133963723,1.083974688,3.997032389,1.464619661,5834,34480,9903,5635,737854,737927,0
NJ,0.175234335,0.262714331,0.211251605,0.069884319,0.158546418,0.105837358,1.657018395,2.507491506,1.996002257,176240,229041,195793,157485,737855,737927,0
NM,0.097593177,0.928554138,0.177965936,0.024411507,0.85728525,0.104429902,1.083133226,3.997834981,1.704166462,9291,55839,13043,9132,737861,737927,0
NV,0.123433562,0.212942254,0.156491528,0.047452131,0.139273684,0.081042712,1.528948244,2.601222749,1.930975948,8717,12665,10022,7931,737855,737927,0
NY,0.18453777,0.241413001,0.209318905,0.070607852,0.128255026,0.095323709,1.882288821,2.613558759,2.195874547,399787,469425,427461,363949,737854,737927,0
OH,0.105748723,0.414025444,0.171187678,0.026439211,0.337637632,0.091633123,1.226241997,3.999692913,1.86818558,36954,99764,47790,36573,737859,737927,0
OK,0.090789015,0.248759498,0.133774927,0.030156329,0.192096353,0.074257689,1.294972521,3.010612334,1.801495965,7622,16191,9653,7251,737857,737927,0
OR,0.075107678,0.258116859,0.119218571,0.023394262,0.209971235,0.068396518,1.229296282,3.210517027,1.743050307,5527,14003,7278,5314,737854,737927,0
