State,beta_min,beta_max,beta_opt,gamma_min,gamma_max,gamma_opt,R0_min,R0_max,R0_opt,N_min,N_max,N_opt,C_inf,T_start,T_end,data points dropped
AK,0.28462398,0.528228464,0.382258152,0.124032287,0.373735216,0.223035349,1.413376212,2.294757169,1.713890433,423,673,512,363,737863,737907,0
AL,0.203317837,0.361159724,0.261348481,0.079066096,0.238518645,0.137246371,1.514178166,2.571492054,1.904228719,9178,13506,10637,8257,737863,737907,0
AR,0.132330852,1.241952924,0.240147036,0.033092002,1.146913699,0.140872218,1.082865193,3.998877159,1.704715382,3130,18572,4368,3084,737862,737901,6
AZ,0.135910859,0.445499017,0.214161092,0.04485997,0.357754039,0.123970486,1.245266214,3.02966897,1.727516763,11357,27667,15069,10747,737854,737907,0
CA,0.114484144,0.855833366,0.213818856,0.028622662,0.773266968,0.128573586,1.106776057,3.999772772,1.663007641,81438,400788,118998,81173,737854,737907,0
CO,0.090930008,0.534328635,0.171052202,0.022736021,0.470504306,0.104645338,1.135650893,3.999380898,1.634589806,30064,125626,45943,30879,737856,737907,0
CT,0.178007248,0.707088271,0.302536489,0.053514311,0.5850366,0.177427204,1.208622284,3.326348513,1.705130224,37507,103985,50921,35654,737858,737907,0
DC,0.167259926,0.442216535,0.248517602,0.061362864,0.338507932,0.143054137,1.30636979,2.725751612,1.737227642,6794,13793,8689,6205,737858,737907,0
DE,0.14108175,0.886673016,0.26215112,0.035284361,0.783614902,0.156848037,1.131516277,3.998421575,1.671370111,8048,33380,11742,8033,737861,737907,0
FL,0.234853708,0.343915213,0.279069996,0.09646963,0.207504543,0.141184166,1.657386427,2.43448334,1.976638066,42287,54652,46958,37394,737854,737907,0
GA,0.205201182,0.421361489,0.279085334,0.077136437,0.294794154,0.150857683,1.429341401,2.660236709,1.849990861,33554,55081,40182,30388,737854,737907,0
HI,0.296632541,0.393835831,0.338353534,0.105643305,0.202234647,0.146243626,1.947420178,2.807868794,2.313629266,684,801,729,634,737857,737907,0
