9956,7585,5769,4099,2840,1919,1296,908,666,504,398,314,251,195,145,113,87,66,51,41,27,3,-19,-32,-38,-46,-48,-44,-38,-39,-21
12371,9870,7834,5923,4380,3181,2271,1605,1144,809,572,409,304,224,166,125,97,74,58,44,32,19,10,5,2,0,0,0,0,-1,0
14076,11936,9990,8144,6509,5161,4046,3147,2426,1845,1331,929,621,399,243,161,113,85,65,50,36,21,12,6,2,0,0,0,0,0,0
16805,14892,13198+1i,11507,9949,8556,7274,6136,5178,4355,3601,2951,2369,1851,1403,1034,737,525,343,218,131,73,38,20,11,4,5,4,3,2,0
18603+2i,17248,15925,14587,13291,12078,10887,9772,8735,7779,6854,6033,5268,4612,4005,3478,3012,2603,2203,1849,1553,1287,1055,868,736,607,498,414,374,323,403
19967,19021,18054,17071,16091,15134,14206,13272,12443,11652,10899,10167,9486,8795,8117,7479,6850,6264,5727,5237,4815,4480,4163,3862,3569,3244,2928,2674,2510,2365,2462
20678,19963+2i,19235,18499,17761,17029,16310,15598,14930,14281,13651,13027,12431,11839,11245,10663,10097,9543,8990,8484,8006,7584,7171,6786,6415,6046,5665,5333,5025,4722,4510
21115+5i,20529,19929,19328+1i,18720,18100,17495,16884,16289,15712,15146,14592,14045,13499,12945,12411,11878,11358,10849,10374,9918,9489,9063,8646,8225,7815,7410,7027,6694,6370,6126
21431+5i,20945+3i,20437,19919,19397,18872,18338,17807,17284,16776,16264,15752,15251,14730,14218,13710,13200,12702,12220,11753,11293,10855,10433,10024,9613,9204,8795,8410,8069,7722,7479
21699+5i,21292,20856,20417,19970,19517,19049,18585,18121,17664,17201,16734,16262,15780,15295,14818,14341,13864,13394,12928,12467,12027,11597,11190,10789,10396,9995,9611,9252,8886,8604
21971+5i,21620,21251+2i,20863+1i,20491,20099,19688,19271,18850,18435,18007,17586,17159,16712,16274,15834,15384,14934,14492,14059,13627,13207,12797,12395,11991,11588,11186,10791,10419,10055,9737
22219+5i,21909+3i,21628+1i,21308+10i,20988,20648,20290,19918,19550,19170,18786,18414,18024,17622,17223,16820,16413,16001,15582,15172,14756,14388,14013,13658,13298,12941,12577,12212,11871,11532,11261
22502,22269+1i,22011,21749+1i,21479,21192,20885,20563,20251,19930,19594,19260,18925,18577,18223,17868,17501,17131,16760,16394,16041,15717,15386,15064,14721,14380,14025,13700,13423,13140,12967
22801,22633,22443+1i,22235,22033-1i,21808,21575,21332,21088,20836,20573,20298,20034,19764,19477,19184,18880,18563,18248,17942,17657,17410,17160,16929,16689,16416,16126,15858,15636,15408,15352
23075,23009+1i,22888+30i,22811,22713,22606,22473,22335,22199,22048,21890,21742,21591,21430,21258,21085,20890,20681,20474,20277,20096,19957,19830,19729,19617,19473,19309,19178,19092,18986,19006
23428,23478+1i,23515+1i,23535,23572,23605-1i,23612-1i,23613,23633,23643,23634,23645,23673,23675,23679,23713,23689,23652,23627,23636,23661,23778,23919,24087,24235,24370,24445,24578,24765,24930,25302
23972+5i,24181+3i,24339+2i,24617,24861,25123-2i,25356-1i,25561-1i,25816,26065,26302,26598,26918,27234,27576,27949,28305,28635,28999,29413,29858,30511,31175,31866,32580,33351,33919,34733,35563,36364,37270
24754+2i,25231+50i,25861,26411,26962,27539,28085,28615,29224,29860,30535,31291,32087,32884,33707,34585,35484,36412,37403,38477,39656,41070,42499,43948,45512,47206,48756,50865,53055,55305,57786
26184+2i,27108+1i,28092+1i,29040+1i,30008+4i,31035,32079,33113,34268,35479,36702,37983,39330,40640,42040,43502,45092,46785,48643,50572,52728,55110,57551,60034,62752,65671,68720,72379,76507,80758,85476
28053+97i,29525+3i,31229+1i,32769-2i,34345-2i,35962,37616,39281,41060,42907,44830,46807,48911,51069,53297,55567,58023,60623,63378,66325,69625,73196,76852,80774,85090,89762,94662,1.0048e+05,1.0669e+05,1.1311e+05,1.2028e+05
31275+5i,33769+3i,36123+1i,38467+1i,40895,43394,46036,48686,51415,54257,57249,60274,63431,66853,70310,73847,77506,81416,85320,89669,94410,99773,1.0539e+05,1.1151e+05,1.1812e+05,1.2539e+05,1.3318e+05,1.4222e+05,1.521e+05,1.6239e+05,1.7371e+05
34251+5i,36989+3i,40098+1i,43248+1i,46498,49831,53266,56750,60362,64032,67801,71739,75790,80042,84413,89000,93613,98631,1.0384e+05,1.0967e+05,1.159e+05,1.2292e+05,1.3034e+05,1.3821e+05,1.4656e+05,1.5572e+05,1.657e+05,1.7692e+05,1.8932e+05,2.0227e+05,2.1635e+05
37308+5i,40873+3i,44707+1i,48599+1i,52679,56935,61308,65767,70276,74954,79749+1i,84691+1i,89824+2i,95301+3i,1.0086e+05+4i,1.0675e+05+3i,1.128e+05+2i,1.1914e+05+1i,1.2577e+05+1i,1.3312e+05,1.4093e+05,1.4959e+05,1.5873e+05,1.6857e+05,1.7884e+05,1.9013e+05,2.0251e+05,2.164e+05,2.3209e+05,2.4852e+05,2.6764e+05
