0,0,1,2,3,4,5,7,8,9,9,10,10,9,9,8,7,7,6,5,3,3,2,1,0,-0,0,0,0,0,0,-0,-0,-0,0,0,-0,-1,-1,-1,-1,-2,-4,1,-696
0,0,1,2,3,4,6,8,9,10,11,12,12,12,12,12,11,11,9,8,6,5,3,1,1,1,-1,-1,0,0,1,1,1,0,-1,-1,-1,-1,-2,-2,-1,4,6,-6,-276
0,1,1,2,4,5,7,9,10,11,12,13,13,13,14,14,13,13,12,11,9,7,6,4,4,4,4,4,4,3,1,-1,-3,-4,-3,-1,-1,2,6,8,8,7,9,7,-9
0,1,2,3,4,6,8,10,12,13,14,15,15,15,16,16,16,16,16,15,15,15,14,14,12,11,9,7,6,6,6,6,7,8,7,7,6,10,11,13,17,20,20,15,-4
0,1,2,4,5,7,9,11,13,14,15,16,16,16,17,17,17,17,18,18,18,18,18,17,17,18,20,20,20,4+5i,20,23,25,26,26,26,9,21,21,26,30,36,27,35,0
0,1,2,4,6,7,10,12,13,15,16,17,17,17,18,18,18,19,19,20,20,19,19,19,20,20,21,24,24,20,25,28,31,34,38,39,23,36,34,33,36,39,48,56,20
0,1,3,4,6,8,10,12,14,16,17,17,18,18,19,19,20,20,21,21,21,21,21,22,23,24,24,25,29,24,31,34,38,41,43,44,37,46,46,47,48,43,51,61,49
0,2,3,5,6,8,11,13,15,16,17,18,19,19,19,20,21,21,22,23,24,25,26,27,27,27,27,30,31,31,-31+3i,37,39,41,45,44,45,-46,50,50,49,54,59,66,63
1,2,3,5,7,9,11,13,15,17,18,19,19,20,20,21,22,22,23,24,25,27,27,27,29,30,30,30,33,32,35,43,45,47,46,45,46+1i,49+2i,55,55,51,57,63,67+2i,68
1,2,3,5,7,9,11,14,16,17,18,19,20,20,21,22,23,24,25,26,27,29,30,32,33,34,36,36,34+8i,36,39,45,47,49,50,49,49,50,57+2i,61,56,59,65,70,73
1,2,4,5,7,9,12,14,16,18,19,20,20,21,22,23,24,25,26,28,29,31,32,34,35,35,36,38,39,41,43,48,50,50,52,52,55,55,63+1i,62+3i,64+2i,63+2i,66+2i,72,77
1,2,4,6,8,10,12,14,17,18,19,20,21,22,23,24,25,27,28,30,31,33,34,35,35,36,38,40,39,43,45,51,52,52,55,55,57,60,66+1i,65+3i,66+1i,65+1i,71,72,80
1,2,4,6,8,10,12,15,17,19,20,21,22,22,23,25,26,28,29,31,33,34,36,36,37,38,40,42,42,43,47,51,52,52+1i,57+1i,57,60,63,66+3i,66+1i,69+1i,68,73+1i,79+2i,82
1,3,4,6,8,10,13,15,17,19,20,21,22,23,24,26,27,29,31,33,34,36,38,39,41,43,45,46,44,46,48,52,53,55,58,59+2i,61+3i,63+3i,69,66+1i,70,72+2i,76+2i,81,85
1,3,4,6,8,11,13,16,18,20,21,22,23,24,25,27,29,30,32,34,36,38,40,42,43,45,46,47,46,50,53,53,55,58,60,60,63,66,71,71,73,78,81,85,88
1,3,5,6,9,11,14,16,18,20,21,22,23,25,26,28,30,32,34,36,38,40,42,44,46,46,47,48,49,51,53,58,60,63,65,63,65,68,73,72,74+4i,80+3i,87+2i,91+1i,91
2,3,5,7,9,11,14,17,19,21,22,23,24,26,27,29,32,34,36,38,40,42,44,46,46,48,48,49,49,53,55,60,64,69,71,68+1i,70+1i,71+2i,76,73,75,84,90+1i,94,96
2,3,5,7,9,12,15,17,19,21,23,24,25,27,28,31,33,36,38,40,42,45,47,49,48,48,50,52,51,54,56,64,69,73+4i,72,71+4i,71+3i,73,76+2i,77,81,86+1i,98,103,100
2,4,5,8,10,12,15,18,20,22,24,25,26,28,30,32,35,38,40,42,45,47,50,52,55,56,55,55,54,54,59,69+3i,69+2i,74,72+5i,74,74,73+1i,79+1i,79+2i,82+2i,90,99,112,104
2,4,6,8,10,13,16,19,21,23,25,26,27,29,32,34,37,40,43,46,48,51,53,56,56,57,60,55+10i,55,60+1i,65+1i,-70+1i,74+4i,76+1i,76,75,77,80,80,86,90,94,99,118,107
3,5,7,9,11,14,17,20,23,25,27,28,30,32,35,39,42,46,49,52,55,58,61,63,66,68,68+12i,62,65,67+1i,69+4i,71+2i,76+2i,82+2i,84+1i,87,86,85,83,88,97,107,116,122,119
3,5,7,10,13,16,19,22,25,27,29,31,33,35,39,43,48,52,56,59,62,65,67,69,71,72+1i,70+1i,72+1i,71+2i,70+3i,70+2i,72+3i,92+1i,86+1i,85+1i,89+1i,89,85,-92,-134,-171,-201,-225,-249,127
3,6,8,11,14,17,20,23,26,28,30+1i,32+2i,36+5i,40+8i,47+12i,54+15i,61+17i,67+19i,71+19i,73+18i,75+17i,75+16i,76+15i,76+14i,77+13i,74+12i,74+1i,76+2i,79+3i,81+4i,84+3i,88+2i,-108,-143,-175,-208,-241,-279,-321,-369,-423,-482,-549,-618,139
