1.5159e+05+5i,1.4268e+05+5i,1.3259e+05+5i,1.2279e+05+4i,1.1289e+05+3i,1.0393e+05+2i,95852+1i,88692+1i,82592,77383,72727,68487,64576,60887,57292,53765,50453,47350,44496,41828,39557,37275,35147,33049,31114,29133,27531,26139,24943,23883,22890
1.5418e+05+5i,1.4638e+05+5i,1.3765e+05+5i,1.2921e+05+4i,1.207e+05+3i,1.1298e+05+2i,1.0598e+05+1i,99720+1i,94256,89467,85090,80972,77055,73299,69526,65782,62218,58865,55688,52805,50236,47809,45462,43235,41102,38934,36863,34902,33061,31231,29647
1.5594e+05+5i,1.4957e+05+5i,1.421e+05+5i,1.3488e+05+4i,1.2754e+05+3i,1.2088e+05+2i,1.1478e+05+1i,1.092e+05,1.0425e+05,99643,95351,91274,87433,83732,80157,76647,73232,69903,66705,63643,60745,57971,55316,52782,50358,48005,45743,43589,41433,39318,37178
1.5875e+05+5i,1.5385e+05+5i,1.477e+05+5i,1.4174e+05+3i,1.3544e+05+3i,1.297e+05+2i,1.2436e+05+2i,1.1943e+05+1i,1.1499e+05+1i,1.109e+05,1.0696e+05,1.0319e+05,99572,96045,92604,89264,86025,82865,79820,76868,74005,71217,68534,65925,63377,60848,58374,55981,53684,51420,49304
1.6066e+05+5i,1.5658e+05+4i,1.5110e+05+4i,1.4583e+05+4i,1.4018e+05+4i,1.3502e+05+3i,1.3022e+05+2i,1.2576e+05+1i,1.2177e+05,1.1809e+05,1.1458e+05,1.1118e+05,1.0793e+05,1.0475e+05,1.016e+05,98519,95453,92442,89483,86606,83765,81019,78367,75778,73257,70744,68260,65819,63318,60827,58252
1.6212e+05+2i,1.5849e+05+3i,1.5348e+05+3i,1.4867e+05+2i,1.4348e+05+2i,1.3879e+05+2i,1.3448e+05+2i,1.3051e+05+1i,1.2699e+05+1i,1.2371e+05,1.2055e+05,1.1745e+05-2i,1.1443e+05-1i,1.1145e+05-1i,1.0851e+05,1.0561e+05,1.0274e+05,99916,97145,94416,91686,88971,86294,83665,81117,78638,76190,73772,71241,68731,65948
1.6285e+05,1.5964e+05+1i,1.5506e+05+2i,1.5069e+05+2i,1.4595e+05+2i,1.417e+05+1i,1.378e+05,1.3419e+05,1.31e+05,1.2804e+05,1.2515e+05-3i,1.2237e+05,1.1968e+05,1.1705e+05,1.1444e+05,1.1185e+05,1.0922e+05,1.0657e+05,1.0392e+05,1.0129e+05,98681,96114,93651,91214,88866,86538,84281,81978,79705,77429,75033
1.6329e+05,1.6046e+05,1.563e+05,1.5236e+05+1i,1.4804e+05+1i,1.4421e+05+1i,1.4071e+05-1i,1.3751e+05-2i,1.3469e+05-3i,1.3202e+05-3i,1.2946e+05,1.2694e+05,1.245e+05,1.2211e+05,1.1977e+05,1.1745e+05,1.1508e+05,1.1268e+05,1.1032e+05,1.0794e+05,1.056e+05,1.0331e+05,1.0105e+05,98798,96636,94505,92432,90405,88359,86339,84183
1.6361e+05,1.6111e+05+1i,1.5731e+05+1i,1.5373e+05,1.4981e+05,1.4636e+05,1.4327e+05+1i,1.4044e+05+1i,1.3796e+05+1i,1.3566e+05,1.3339e+05,1.3117e+05,1.2906e+05,1.2696e+05,1.249e+05,1.2284e+05,1.2073e+05,1.1861e+05,1.1652e+05,1.144e+05,1.1231e+05,1.1032e+05,1.084e+05+4i,1.0646e+05,1.0464e+05,1.0286e+05,1.011e+05,99377,97758,96105,94510
1.6388e+05,1.6171e+05,1.5829e+05,1.5508e+05+1i,1.5154e+05+1i,1.4848e+05+1i,1.4575e+05,1.4330e+05,1.4119e+05,1.3922e+05,1.373e+05,1.3543e+05,1.3366e+05,1.3191e+05,1.3021e+05,1.2853e+05,1.268e+05,1.2505e+05,1.2332e+05,1.2161e+05,1.1992e+05,1.1836e+05,1.1686e+05,1.1546e+05,1.1416e+05,1.1293e+05,1.1179e+05,1.1075e+05,1.0968e+05,1.0865e+05,1.0739e+05
