4,12,18,24,30,35,40,45,51,58,67,76,85,93,100,106,111,114,117,119,121,123,125,126,128,129,130,131,132,133,133,134,135,135,136
5,13,21,29,36,42,49,57,64,72,81,89,98,106,114,121,128,134,138,142,146,149,152,156,159,162,164,166,168,170,172,173,174,176,177
6,15,23,32,41,49,58,67,75,84,92,101,109,117,125,132,139,145,150,155,159,164,168,172,176,179,183,185,188,190,192,194,195,197,199
7,16,26,36,45,55,65,74,84,93,102,110,119,127,134,142,149,155,161,167,172,178,183,187,192,196,201,205,208,212,215,219,222,225,227
8,17,27,37,48,58,68,78,88,97,106,115,123,132,140,149,156,164,171,177,183,189,195,201,206,211,215,220,224,228,232,236,240,243,246
8,18,29,39,49,60,70,81,91,100,110,119,128,138,147,156,164,172,180,187,194,201,207,213,219,225,230,235,239,244,248,252,256,260,264
9,19,30,40,51,62,73,83,93,104,113,123,133,144,154,164,174,183,192,201,210,218,226,234,241,248,255,261,267,273,279,285,290,296,301
9,20,31,42,53,64,75,86,96,107,117,128,139,150,162,174,185,197,209,220,231,243,253,264,275,285,295,305,314,323,331,338,345,352,359
10,21,32,43,54,65,76,88,99,110,122,134,146,158,172,186,201,217,232,248,264,280,296,311,326,342,358,375,392,409,425,441,456,471,486
10,21,32,44,55,67,78,90,102,114,127,139,153,168,183,200,217,235,253,271,288,306,324,343,362,381,402,423,444,466,489,511,533,556,577
11,22,33,45,56,68,80,92,105,118,131,146,160,176,193,210,228,247,266,285,305,324,345,366,388,412,437,465,494,524,555,584,611,638,663
11,22,34,46,57,69,82,95,108,122,136,151,167,184,201,220,240,260,281,304,328,354,382,413,447,483,523,566,616,670,727,788,846,904,951
11,23,35,46,59,71,84,97,111,126,140,156,173,192,212,233,256,281,307,336,367,401,438,479,523,572,624,680,741,810,887,975,1070,1169,1269
12,23,35,47,60,73,86,100,115,130,146,163,182,202,225,249,275,303,333,366,402,441,485,533,586,644,705,770,844,925,1014,1114,1218,1326,1433
12,24,36,49,62,75,89,104,120,136,153,172,193,216,241,268,298,330,363,401,442,488,538,593,653,717,784,857,938,1027,1126,1235,1345,1460,1562
12,24,37,50,63,78,93,108,125,142,161,182,204,230,258,289,323,360,400,443,488,538,592,649,712,780,852,931,1020,1118,1227,1347,1469,1596,1717
13,25,38,52,66,82,98,115,133,152,172,195,220,247,278,312,349,389,432,479,526,578,635,695,760,832,910,997,1094,1204,1323,1451,1583,1718,1851
13,26,40,54,70,87,104,122,142,162,184,209,235,265,299,337,376,419,466,515,566,623,682,747,816,893,976,1071,1177,1295,1423,1560,1699,1842,1982
14,27,42,58,75,94,113,134,155,177,201,227,256,287,322,362,403,448,496,549,604,665,732,804,880,964,1055,1156,1268,1393,1527,1668,1814,1962,2111
14,28,44,62,81,102,124,147,170,193,219,247,277,312,349,391,437,486,538,596,656,720,792,872,958,1055,1162,1278,1399,1531,1669,1811,1953,2099,2238
16,30,49,69,90,114,139,165,192,220,249,280,313,349,386,428,476,528,586,650,721,798,884,980,1083,1192,1308,1430,1557,1692,1833,1976,2120,2265,2407
17,32,52,73,97,124,151,180,210,240,272,304,340,376,415,458,507,561,622,693,771,858,954,1059,1170,1290,1416,1550,1690,1839,1993,2153,2337,2518,2757
17,34,57,80,108,138,168,199,231,263,296,330,368,405,444,490,541,600,672,754,844,944,1048,1166,1297,1441,1597,1773,1948,2124,2298,2467,2623,2779,2922
