0,0,0,0,0,0,0,0,0,-0,-0,0,0,1,2,1,4,3+1i,6,1,7,8,9,10,11,12,13,14,15,-14,-1+2i
0,1,-0,1,2,0+1i,-2+2i,0+2i,4,-3+1i,-1+2i,1+2i,-4+2i,1,8,3,6,5,10+1i,-6+1i,15,16,18,20,22,14,-21,-28,-23,17,10
0,-0+1i,1,1,-2+1i,2,3,3,4+3i,-3+2i,4+2i,5,6,7,15,9,10,11,12,7,-21+1i,-35,-59,56,-27+3i,24,26,29,31,34,12+2i
-0,-1+1i,-0+1i,-1+2i,-2+2i,2+1i,6+1i,7+2i,6+1i,4,5,-14+1i,-13+1i,-10+2i,-18+1i,-16+1i,-15+1i,-12,-16,13,40+1i,59+1i,65+1i,-79,39,101+3i,-174,-211,200,95,14
0+2i,-1+1i,-4+1i,-2+2i,3+1i,-4+2i,10+1i,9+1i,-8+2i,8+2i,-5+1i,17+3i,21+3i,24+3i,24+2i,24+2i,21+2i,18+2i,20+2i,28+2i,74,139,206,214,-98,-134,278,315,-286,-360,18
-2,-3,-5+1i,-4+1i,-4+1i,5+1i,-10+2i,9+2i,10+2i,8+3i,12+3i,32+1i,37+1i,42+1i,42+1i,43+1i,38+1i,28+1i,36+1i,83+1i,127+1i,170,260,342+4i,213,234,-285+2i,340,418,519,37
-3,-3,5+2i,-5+1i,-4+1i,5+2i,12+1i,-10+2i,13+1i,9+3i,26+1i,33+2i,80+1i,92+2i,129+2i,187+2i,273+2i,334+2i,353+2i,373+1i,392+1i,407+1i,415,391+1i,330+2i,297+2i,385+3i,479+29i,516+25i,545+1i,-58
1+5i,10+2i,6+1i,-6+2i,-11+2i,-6+2i,12+2i,14+1i,-23+3i,21+1i,42+2i,64+1i,81+2i,132+2i,205+2i,264+1i,297+1i,352+2i,381+1i,387+1i,441+1i,479+1i,475+1i,461,407+8i,438+15i,403,502+3i,611+4i,561+23i,181+2i
-1+5i,15+2i,-8+1i,6+5i,-22+2i,30+2i,17+2i,18+1i,31+2i,55+1i,65+1i,94+2i,142+2i,185+1i,224+1i,277+2i,331+1i,377+2i,428+1i,471+1i,515+1i,555+7i,522+11i,471+3i,451,440,422+11i,517+7i,701+1i,723,-503
-2+5i,16+1i,10+5i,-9+2i,39+5i,-33+3i,-43+3i,-41+3i,41+1i,59+2i,105+2i,155+2i,200+3i,245+3i,292+3i,312+2i,359+2i,382+1i,433+1i,488+1i,530+4i,574+4i,573+1i,490+15i,463+19i,442+15i,465+22i,631,704+1i,748+3i,566
5+5i,-20+4i,30+1i,32+1i,43+1i,59+2i,66+2i,85+2i,104+2i,126+3i,149+3i,176+3i,225+2i,258+1i,315+1i,359+12i,377+1i,402+1i,469+1i,521+1i,573+1i,595+1i,600,606,614,586,621,637,743,778+1i,614
-6+5i,21+1i,41+2i,59+1i,44+2i,114+2i,149+1i,194+2i,221+2i,246+2i,274+2i,303+2i,324+2i,366+9i,357+13i,360+1i,396+16i,443+19i,551+16i,649+11i,630+8i,618+1i,683+1i,629+1i,646+1i,643+1i,646,872+1i,899+4i,875,848
9,25+5i,54+4i,63+2i,94+2i,124+2i,153+2i,208+1i,264+2i,302+2i,332+2i,360+6i,377+5i,377+5i,369+8i,397+17i,448+21i,517+17i,599+14i,669+13i,787+7i,888+4i,1063+4i,732+1i,785+1i,850+1i,833+1i,-913+2i,1074+4i,875+3i,984+2i
13,55+2i,64+2i,89+2i,95+3i,140+1i,185+1i,229+1i,268,316+1i,360+1i,375+1i,389+10i,379+5i,430+9i,481+12i,533+15i,588+19i,634+15i,697+11i,804+10i,933+7i,1073+4i,1130+4i,1206+5i,1297+5i,1409+5i,1417+4i,1383+4i,1198+3i,1200
17,63+5i,72+4i,91+4i,112+1i,186+5i,204+4i,242+4i,274+1i,331,364+1i,388+1i,390+1i,463+14i,529+18i,605+22i,695+19i,799+16i,895+12i,1001+9i,1117+5i,1243+5i,1086+4i,1255+5i,1367+5i,1503+5i,1541+5i,1618+5i,1412+3i,1285+4i,2307+5i
30,66+4i,79+2i,125+4i,156+4i,189+5i,228+3i,255+2i,311+4i,371+4i,405+28i,481+36i,548+37i,577+4i,648+4i,735+4i,821+4i,920+5i,1007+4i,1145+5i,1271+5i,1354+4i,1380+5i,1532+5i,1701+5i,1777+5i,1745+3i,1710+3i,1941+5i,2291+5i,2738+5i
37+5i,76+2i,103+5i,134+5i,160+5i,197+3i,311+1i,333+5i,354+12i,378+20i,432+4i,497+4i,552+4i,602+4i,662+4i,805+4i,919+9i,992+4i,1027+5i,1163+4i,1412+5i,1406+5i,1554+5i,1718+5i,1857+4i,2049+4i,1880+5i,1800+4i,2203+5i,2398+5i,3251+5i
39+2i,102+5i,109+5i,177+5i,261+5i,322+2i,401+5i,484+4i,531+4i,566+5i,605+5i,597+8i,584+4i,627+30i,717+23i,823+16i,975+4i,1027+5i,1142+5i,1274+5i,1465+5i,1543+5i,1633+5i,1734+5i,1899+5i,2109+5i,2049+4i,1927+5i,-2229+2i,3273+5i,3663+5i
80+2i,126+5i,167+5i,236+5i,271+4i,339+5i,425+4i,529+23i,608+20i,638+16i,615+12i,651+5i,705+5i,768+5i,842+5i,929+5i,997+4i,1138+5i,1264+5i,1403+5i,1470+4i,1566+5i,1733+5i,1918+5i,2112+5i,2191+5i,2351+5i,2625+5i,2943+5i,3543+5i,3930+5i
-32+97i,130+52i,190+34i,261+19i,298+16i,354+4i,453+20i,559+5i,615+5i,701+5i,787+5i,872+5i,960+5i,1054+5i,1064+5i,1023+5i,1027+5i,1160+5i,1364+5i,1550+5i,1675+4i,1790+4i,2097+5i,2175+5i,2276+5i,2239+5i,2557+5i,2877+5i,3200+5i,-3618+1i,4305+5i
-134+5i,147+5i,211+4i,273+3i,302+3i,382+16i,461+5i,571+5i,658+5i,808+5i,929+5i,1026+5i,1069+5i,1129+5i,1163+5i,1217+5i,1285+4i,1493+5i,1714+5i,1951+5i,1716+5i,1900+5i,2125+5i,2479+5i,2441+4i,2337+5i,2589+5i,2967+5i,3418+5i,3885+5i,5276+5i
336+5i,380+42i,407+39i,440+39i,456+26i,492+17i,530+9i,615+5i,744+5i,874+5i,1014+5i,1163+5i,1321+5i,1421+5i,1541+5i,1672+5i,1805+5i,1859+5i,1927+5i,2023+4i,2202+5i,2473+5i,2611+4i,2508+4i,2797+5i,3085+5i,3423+5i,3809+5i,4257+5i,4726+5i,6201+5i
564+5i,664+5i,739+5i,731+5i,710+5i,681+5i,648+5i,706+5i,981+5i,1182+5i,1343+5i,1465+5i,1549+5i,1639+5i,1744+5i,1771+5i,1816+5i,1966+5i,2120+5i,2028+5i,2348+5i,2553+5i,2714+5i,2993+5i,3314+5i,3693+5i,4126+5i,4592+5i,5103+5i,5630+5i,-7222
