0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0
4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,1,1
5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2
5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3
5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3
5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4
6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4
6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7
7,7,7,7,7,8,8,8,8,7,7,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,11
7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10,11,11,12,13,14,15,15,16,17,18,19,20,22,22,24,25,26,27,27,27,25
7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,11,11,12,13,13,15,16,17,18,19,21,22,23,25,26,28,31,33,35,38,40,42,43,44,40
8,8,8,8,9,9,9,9,10,10,10,11,11,12,12,13,14,15,16,17,18,20,22,24,26,27,29,31,33,36,39,43,46,49,52,56,60,62,64,61
9,9,9,9,9,10,10,11,11,12,13,13,14,14,15,15,16,18,19,21,23,25,28,30,33,36,38,41,44,47,51,56,62,68,74,80,85,88,91,87
9,10,10,10,10,11,11,12,13,15,16,17,17,18,18,19,20,22,24,27,30,33,37,40,44,47,51,56,60,66,73,82,90,100,108,115,122,130,136,146
10,10,10,11,11,11,12,13,15,17,19,20,21,21,22,22,24,26,28,31,35,38,42,47,52,57,63,68,74,81,90,100,111,122,132,141,150,162,172,193
11,11,11,12,12,12,14,15,17,20,21,23,23,24,25,26,28,30,33,37,40,44,50,55,61,67,74,81,89,99,111,124,138,152,164,176,188,208,227,263
