2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,4,3,3,3,3,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,5,4,4,4,3,4,4,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,5,5,4,4,4,4,4,4,4,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,6,5,5,5,4,5,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
8,7,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
8,7,6,6,5,5,5,5,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
8,8,7,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
9,8,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1
9,8,8,7,6,6,6,6,6,7,7,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
9,9,8,7,7,6,6,7,7,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
10,9,8,8,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
10,9,8,8,7,7,7,7,7,8,8,7,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
11,10,9,8,8,7,7,8,8,8,8,8,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
11,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7
12,11,10,9,9,8,8,8,9,10,11,12,14,14,15,15,15,14,14,13,13,12,12,11,11,11,10,10,10,11,12,13,14,15,15,15,15,14,14,14,15,16,15
12,11,10,10,9,9,9,9,10,12,14,16,20,22,23,24,24,23,23,22,21,21,20,19,18,18,17,17,17,18,19,21,22,24,24,25,25,25,26,27,28,30,30
13,12,11,10,10,9,9,9,11,13,17,21,27,30,33,34,34,33,33,32,31,30,29,27,26,25,25,25,26,27,29,31,34,36,37,38,38,39,39,40,40,41,41
14,13,12,11,11,10,10,10,12,16,21,28,36,42,46,49,50,49,47,46,44,42,40,39,37,37,36,37,38,40,42,44,47,49,51,53,55,58,60,63,66,69,74
15,14,13,12,11,11,11,11,14,18,24,31,40,48,54,58,60,60,59,57,54,52,50,48,46,46,46,46,48,50,54,57,60,63,65,67,70,73,77,81,86,90,95
16,15,14,13,12,12,12,12,15,22,30,40,53,62,68,71,72,71,69,68,66,64,62,59,57,56,56,56,58,61,64,67,70,74,78,81,85,89,93,96,100,103,108
