4,14,26,37,49,62,75,88,102,115,129,142,155,166,177,187,197,207,218,231,246,261,276,291,305,318,329,339,348,355,362,368,373,378,382,386,390,394,398,401,404,407,409,412,414
6,17,28,39,51,64,78,91,105,119,133,146,159,172,184,197,209,222,235,249,264,278,293,306,318,328,338,347,355,362,369,376,382,389,394,400,405,410,415,419,423,427,431,435,438
7,18,30,42,54,67,80,94,108,123,137,151,165,178,191,205,219,233,248,262,277,291,304,316,327,338,348,358,368,377,385,393,400,407,414,420,426,432,437,442,447,452,457,461,466
8,20,32,44,57,70,84,98,112,127,141,156,170,185,199,214,228,242,257,271,285,298,311,324,336,347,358,368,377,387,396,404,412,420,427,434,441,447,453,459,464,470,475,480,485
9,21,34,46,59,73,86,101,115,130,145,159,174,188,203,218,233,248,262,277,291,305,318,331,344,356,367,378,388,398,407,416,425,433,441,448,455,462,468,474,480,486,491,496,501
10,22,35,48,61,74,88,102,117,132,147,162,177,192,207,222,237,252,267,282,296,310,323,336,349,361,373,384,395,405,415,424,433,442,451,459,467,475,482,489,495,502,507,513,519
11,23,36,49,62,76,90,104,119,134,149,164,179,195,210,226,241,256,271,285,300,314,328,342,355,368,380,392,403,415,425,436,446,455,464,473,481,488,496,503,510,516,523,529,535
11,24,37,50,63,77,91,106,120,135,151,166,181,197,213,228,244,259,274,289,304,318,333,346,360,373,385,397,409,421,432,443,453,464,473,483,493,502,511,520,528,535,543,550,556
12,24,38,51,65,79,93,107,122,137,152,167,183,199,215,230,246,262,277,292,307,322,336,351,364,378,391,404,417,429,441,452,463,474,484,493,502,511,520,528,537,545,552,560,567
12,25,38,52,65,80,94,109,123,138,154,169,185,201,217,233,249,265,280,296,311,326,342,357,371,385,399,412,425,437,448,460,471,481,492,502,512,522,532,541,549,558,566,574,582
12,25,39,52,66,81,95,110,125,140,155,171,187,203,219,236,253,269,285,301,316,332,348,363,378,393,407,420,433,446,459,471,484,496,508,519,530,541,551,561,571,581,591,601,610
13,26,40,53,67,82,96,111,126,142,157,173,189,205,222,239,256,273,290,306,322,339,355,372,389,405,422,438,453,469,484,499,514,529,544,559,576,594,612,631,651,669,689,709,734
13,26,40,54,68,83,97,112,128,143,159,175,191,208,225,243,260,278,295,312,330,349,369,390,412,433,455,476,496,516,537,559,582,606,628,650,671,690,710,733,757,785,812,840,863
14,27,41,55,69,84,98,114,129,144,160,176,193,210,229,248,267,286,306,326,348,371,396,422,448,473,497,520,542,564,589,615,641,668,697,726,754,783,813,841,870,899,926,953,977
14,28,41,56,70,85,100,115,131,146,162,179,196,214,234,255,278,301,326,351,377,403,428,454,479,504,529,554,580,607,636,664,693,722,750,777,805,833,861,889,920,950,982,1014,1049
15,28,42,57,71,86,101,117,132,148,164,181,199,219,240,264,290,317,346,376,405,434,463,491,518,545,572,598,624,652,680,708,737,767,795,822,849,876,904,933,963,994,1025,1056,1087
15,29,43,58,72,87,103,119,134,150,167,184,203,225,249,276,304,334,365,397,428,459,490,520,550,579,606,633,661,689,717,748,779,810,840,870,899,928,959,991,1023,1053,1082,1109,1129
16,30,44,59,74,89,105,120,136,153,169,188,208,231,258,287,319,352,385,419,454,489,523,556,589,618,646,672,699,726,755,785,818,850,884,917,949,982,1014,1046,1077,1107,1137,1166,1196
17,31,46,60,76,91,107,123,139,155,173,192,215,240,270,303,338,375,412,450,489,526,563,599,633,664,694,722,750,778,807,837,868,900,933,967,1001,1036,1070,1104,1138,1173,1209,1246,1287
18,32,47,62,78,94,110,126,142,158,176,196,220,249,283,320,360,402,444,486,528,570,611,649,686,719,750,778,805,833,860,889,919,950,983,1018,1056,1095,1134,1172,1210,1247,1281,1315,1343
19,34,50,65,81,96,112,129,145,162,181,203,230,263,303,348,395,443,490,535,576,617,657,695,733,771,808,844,879,913,946,978,1010,1042,1075,1110,1145,1182,1221,1259,1298,1338,1377,1416,1450
20,36,51,67,83,99,115,132,148,165,184,209,239,276,322,373,425,478,526,572,614,654,694,734,773,814,853,890,927,963,997,1031,1064,1097,1129,1162,1198,1235,1276,1320,1365,1410,1454,1498,1535
21,38,54,71,87,103,119,136,152,169,190,218,253,296,350,407,464,518,569,613,654,693,731,772,814,856,897,938,975,1009,1042,1075,1106,1138,1173,1210,1251,1296,1346,1401,1455,1510,1560,1609,1649
