0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-2,-13,-26,-32,-34,-38,-38,-33,-25,-25,-5
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0
0,0,1,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0,-1,0+1i,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0+2i,-3,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,4,-1,1,-0,1,1,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,4+2i,3,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1+5i,5,5,2+1i,4,3,2,1,-0,-0,-0,1,1,2,2,2,2,2,2,-0,0,0,0,0,0,0,0,0,0,0,0
-1+5i,8+3i,7,6,6,4,2,-1,1,1,-0,2,3,2,3,3,3,2,2,2,0,-0,0,1,1,0,1,1,1,-0,0
-2+5i,9,8,7,14,10,7,5,5,4,5,5,3,4,4,4,4,3,3,3,2,2,1,1,3,1,5,6,3,1,1
5+5i,9,12+2i,9+1i,15,17,14,12,10,9,8,6,5,4,4,4,6,8,5,4,4,2,2,2,5,5,7,7,7,6,2
-6+5i,-18+3i,13+1i,12+10i,19,19,17,13,10,9,10,11,12,10,9,9,10,9,10,7,5,5,5,5,5,5,10,11,8,8,3
9,19+1i,20,16+1i,23,22,18,16,15,16,15,16,14,14,14,13,12,12,12,11,12,14,15,14,12,8,12,11,15,17,9
13,24,24+1i,17,25-1i,23,19,20,20,22,21,17,18,19,17,15,16,15,12,13,16,19,16,16,16,11,12,13,15,17,17
17,24+1i,-2+30i,21,26,25,28,28,27,26,23,23,21,20,22,23,24,25,25,25,23,20,20,20,18,15,14,14,22,30,22
30,36+1i,31+1i,27,28,28-1i,30-1i,29,27,28,26,25,25,23,24,29,31,31,31,32,35,36,34,29,19,16,14,15,23,31,43
37+5i,50+3i,-31+2i,29,29,40-2i,35-1i,32-1i,31,30,29,28,25,26,30,30,33,36,40,40,38,37,35,32,25,18,14,17,28,44,61
39+2i,-17+50i,35,38,29,42,37,37,39,35,32,30,27,28,33,46,61,83,98,103,98,84,58,37,27,18,26,67,67,81,86
80+2i,62+1i,49+1i,39+1i,30+4i,43,61,65,66,57,49,42,48,60,81,105,131,155,177,186,195,206,214,150,67,25,37,100,308,577,701
-32+97i,-65+3i,52+1i,42-2i,43-2i,47,65,94,107,111,111,105,94,96,100,109,134,177,217,246,272,257,217,217,242,280,325,398,495,593,1031
-134+5i,106+3i,100+1i,59+1i,47,69,106,128,154,177,186,196,207,226,246,274,286,305,302,301,295,330,367,456,559,692,823,968,1094,1228,1336
336+5i,173+3i,144+1i,175+1i,167,160,170,189,213,222,231,243,258,282,308,341,373,414,456,508,556,621,691,768,864,984,1115,1263,1426,1588,1759
564+5i,403+3i,301+1i,209+1i,183,203,219,230,247,271,284,298,318,347,380,421,464,513,569,634,710,805,908,1018,1144,1281,1437,1619,1851,2085,2414
