584,1367,2192,3023,3865,4725,5585,6436,7261,8069,8842,9581,10281,10958,11613,12254,12897,13536,14167,14795,15414,16012,16601,17186,17746,18272,18770,19241,19676,20094,20499
637,1465,2330,3206,4092,4982,5878,6754,7616,8450,9261,10044,10802,11533,12238,12925,13590,14248,14897,15535,16180,16813,17429,18023,18603,19143,19647,20138,20593,21025,21434
680,1554,2464,3365,4281,5195,6106,7002,7878,8743,9583,10408,11206,11986,12739,13484,14200,14898,15586,16263,16931,17590,18232,18850,19448,20020,20563,21075,21569,22038,22489
733,1674,2615,3558,4493,5427,6354,7265,8173,9065,9950,10808,11652,12476,13279,14065,14833,15593,16341,17073,17794,18499,19180,19838,20476,21089,21684,22261,22818,23359,23891
798,1764,2720,3677,4627,5570,6508,7435,8366,9278,10173,11062,11934,12786,13624,14443,15257,16049,16828,17591,18335,19062,19772,20461,21137,21791,22437,23061,23664,24240+5i,24824
851,1828,2794,3759,4718,5672,6626,7568,8505,9428,10347,11253,12139,13016,13874,14726,15562,16378,17180,17964,18736,19487,20229,20950,21659,22350,23029,23691,24336,24963,25582
912,1885,2856,3827,4796,5754,6719,7669,8618,9554,10487,11401,12315,13203,14089,14965,15817,16661,17492,18304,19103,19883,20654,21409,22147,22869,23582,24286,24977,25638,26300
943,1922,2901,3880,4861,5832,6799,7763,8725,9678,10619,11546,12472,13385,14291,15187,16065,16940,17795,18641,19466,20284,21087,21878,22654,23417,24169,24914,25637,26349,26987+3i
969,1954,2952,3936,4922,5906,6885,7865,8835,9794,10759,11711,12650,13585,14504,15423,16320,17203,18085,18956,19819,20676,21515,22343,23161,23962,24749,25524,26294,27059,27815
989,1994,2992,3991,4986,5977,6966,7956,8937,9917,10887,11861,12822,13774,14722,15666,16595,17513,18432,19341,20250,21153,22058,22949,23839,24723,25606,26472,27351+8i,28225,29123
1013,2026,3035,4042,5045,6045,7047,8047,9042,10039,11026,12014,12993,13973,14948,15917,16887,17852,18823,19791,20766,21742,22727,23706,24695,25676,26662,27654,28647,29653,30667
1034,2059,3076,4098,5109,6128,7145,8168,9196,10229,11273,12319,13362,14404,15448,16487,17523,18583,19657,20758,21890,23050,24227,25419,26657,27942,29275,30679,32091,33554,34952
1056,2104,3169,4239,5317,6408,7504,8615,9737,10856,11989,13131,14286,15444,16616,17823,19053,20302,21585,22904,24261,25656,27091,28571,30096,31641,33236,34871,36544,38248,40010
1078,2160,3280,4392,5521,6655,7791,8931,10072,11228,12391,13584,14794,16028,17277,18562,19880,21214,22575,23980,25423,26911,28450,30049,31695,33397,35150,36967,38826,40741,42701
1101,2228,3391,4554,5722,6893,8059,9232,10402,11587,12802,14029,15289,16575,17887,19221,20602,22003,23453,24948,26483,28075,29712,31408,33159,34989,36881,38850,40878,42973,45097
1128,2317,3522,4725,5932,7132,8337,9538,10742,11969,13219,14490,15794,17129,18493,19891,21334,22808,24321,25889,27500,29162,30906,32710,34597,36561,38619,40744,42947,45217,47586
1202,2454,3691,4927,6156,7390,8622,9863,11112,12380,13666,14974,16318,17700,19112,20571,22078,23628,25230,26887,28593,30361,32215,34132,36129,38225,40419,42687,45064,47512,50079
1310,2603,3871,5136,6398,7658,8930,10212,11496,12805,14134,15490,16881,18323,19810,21344,22931,24569,26250,27987,29799,31682,33643,35694,37821,40047,42376,44807,47380,50046,52910
1475,2791,4089,5391,6692,7998,9306,10629,11948,13296,14674,16086,17546,19071,20653,22286,23967,25706,27497,29350,31267,33270,35361,37534,39798,42186,44690,47303,50074,52932,55980
1684,3043,4377,5725,7063,8412,9775,11146,12529,13933,15369,16858,18404,20019,21721,23476,25295,27176,29124,31107,33171,35302,37522,39834,42261,44798,47474,50241+10i,53137,56102+1i,59217+1i
1968,3391,4783,6183,7592,9012,10461,11934,13424,14926,16478,18084,19771,21545,23421,25370,27382,29438,31549,33691,35885,38161,40525,42984,45586,48346,51241+12i,54273,57496,60820+1i,64328+4i
2187,3671,5124,6597,8083,9584,11111,12670,14246,15830,17472,19193,20991,22901,24921,27011,29164,31376,33621,35895,38242,40663,43160,45763,48552,51535+1i,54684+1i,58064+1i,61667+2i,65343+3i,69229+2i
2463,3991,5517,7071,8649,10253,11886,13551,15242,16947,18717+1i,20568+2i,22521+5i,24579+8i,26749+12i,28987+15i,31294+17i,33662+19i,36095+19i,38613+18i,41257+17i,44020+16i,46880+15i,49835+14i,52919+13i,56141+12i,59541+1i,63156+2i,67047+3i,71075+4i,75414+3i
