0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1
5,5,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2
5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2
5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3
5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4
6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6
7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10
8,8,8,8,8,7,7,8,8,8,8,8,9,9,10,11,11,12,12,12,12,12,12,12,13,13,13,13,14,14,14,15,15,15,14,14,14,14,15,15,16,16,16,16,14
8,8,8,8,8,8,8,8,8,8,9,10,11,12,14,15,16,17,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,21,21,21,21,22,22,23,23,23,23,22,19
9,9,9,9,9,9,9,9,9,9,10,11,13,16,20,22,24,26,26,26,26,26,26,26,26,26,26,27,27,28,28,29,29,29,29,29,30,30,31,32,33,35,36,38,40
10,10,10,9,9,9,9,10,10,10,11,14,17,21,26,31,34,35,36,36,36,36,36,36,36,36,36,37,38,38,38,38,39,39,40,41,43,45,47,49,50,51,53,54,56
10,10,10,10,10,10,10,10,11,11,13,16,21,27,34,39,42,44,45,44,44,44,44,44,44,45,46,47,48,49,49,49,49,50,51,53,55,58,60,62,63,65,65,65,64
11,11,11,11,11,11,11,11,11,12,14,17,23,29,38,44,49,52,53,53,53,53,53,53,54,54,55,56,57,58,58,59,60,60,62,65,68,71,74,76,78,79,78,78,74
