1,9,15,22,28,34,39,45,50,55,60,66,73,80,88,95,102,108,113,117,121,124,126,129,131,133,134,136,137,139,140,141,143,144,145,146
3,10,17,24,31,37,44,50,56,62,69,75,82,89,97,104,111,118,123,128,131,135,137,140,142,144,146,147,149,150,152,153,154,156,157,158
4,11,18,25,33,40,47,54,61,68,75,83,91,98,106,113,119,126,132,138,143,149,154,158,162,165,168,170,173,175,177,179,180,182,184,185
5,12,20,28,35,43,51,60,68,77,86,94,103,111,119,127,135,142,149,156,163,169,175,180,186,191,195,200,204,209,213,216,220,224,227,230
5,13,21,29,38,46,55,64,73,82,91,99,108,116,124,132,140,147,155,162,169,175,182,188,194,200,205,210,216,220,225,229,234,238,242,245
6,14,22,31,39,48,57,66,75,84,93,102,111,119,127,136,143,151,159,167,174,181,188,195,202,208,214,220,226,232,237,242,247,252,256,260
7,15,23,32,41,50,59,68,77,86,95,104,113,121,130,138,146,155,163,171,179,187,195,203,210,217,224,231,237,244,250,255,261,266,271,276
7,15,24,33,42,51,60,69,79,88,97,106,115,123,132,141,150,159,168,177,185,194,203,212,221,230,238,247,255,262,270,277,284,291,298,305
7,16,25,34,43,52,61,71,80,89,99,108,117,127,137,146,156,165,175,184,194,204,214,224,235,246,257,266,276,285,293,302,310,318,325,332
8,17,25,35,44,53,62,72,81,91,101,110,120,130,140,151,161,171,182,193,204,216,229,242,257,271,284,298,311,324,337,351,366,380,395,407
8,17,26,35,45,54,63,73,83,93,103,113,124,135,147,158,169,180,192,204,216,230,245,261,277,294,311,329,348,367,388,409,431,451,471,489
9,18,27,36,45,55,65,74,85,95,105,117,128,140,152,163,175,187,200,213,227,243,261,279,298,317,337,356,376,397,420,444,469,494,520,545
9,18,27,37,46,56,66,76,86,97,108,119,131,144,156,169,182,195,208,222,238,254,272,291,311,331,351,372,393,417,441,467,493,519,545,570
9,18,28,37,47,57,67,78,88,99,110,122,134,147,160,173,187,200,215,230,246,263,281,301,321,342,363,385,408,433,458,485,513,544,575,612
10,19,28,38,48,58,69,80,90,102,113,125,138,151,164,178,193,207,222,238,254,271,290,310,332,355,378,402,427,453,483,516,553,596,641,694
10,19,29,39,49,60,71,82,94,105,117,130,142,156,169,183,197,212,228,244,262,281,301,324,347,371,397,423,450,480,514,552,595,644,696,754
10,20,30,40,51,62,73,85,97,109,122,135,149,163,178,192,207,222,238,256,275,296,319,344,369,395,422,452,483,517,555,597,643,693,744,799
11,21,31,41,53,64,77,90,103,117,131,145,160,175,190,205,220,235,252,270,291,313,337,362,388,415,444,475,509,546,587,633,682,733,785,835
11,21,32,43,55,68,82,96,111,127,142,157,173,188,202,218,233,250,269,289,310,333,358,383,410,438,469,503,541,582,629,679,730,780,832,878
12,22,33,46,59,73,89,105,121,138,155,171,188,205,221,237,254,272,292,312,335,359,384,411,440,470,503,540,582,629,680,735,792,852,912,974
13,23,36,49,64,81,99,118,136,155,173,191,210,228,246,263,281,300,321,345,372,400,430,460,494,530,570,613,664,717,774,835,896,954,1014,1068
14,25,38,52,68,87,108,129,150,170,189,208,226,244,263,281,301,324,348,375,405,438,473,512,553,596,642,692,742,795,849,907,965,1031,1097,1176
15,26,40,56,74,95,118,142,165,188,209,229,249,268,286,306,328,354,385,420,458,496,536,574,615,660,714,777,848,923,999,1069,1132,1190,1243,1297
