134+5i,88+5i,58+5i,31+4i,15+3i,6+2i,1+1i,1+1i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,-34,-40,-52
309+5i,124+5i,82+5i,34+4i,41+3i,28+2i,25+1i,8+1i,7,0,0,1,1,1,2,2,3,3,3,4,4,4,2,0,-0,-0,2,0,0,0,-5
362+5i,250+5i,179+5i,115+4i,80+3i,44+2i,27+1i,16,9,2,5,7,7,7,7,7,7,8,8,7,6,4,4,5,5,5,5,4,4,0,-4
446+5i,452+5i,398+5i,334+3i,218+3i,123+2i,53+2i,20+1i,-11+1i,3,6,9,12,14,11,9,13,18,16,16,17,18,25,27,40,41,18,5,5,4,-3
562+5i,524+4i,427+4i,343+4i,268+4i,177+3i,104+2i,50+1i,17,-4,6,12,14,19,23,23,20,20,29,21,19,26,33,38,49,42,39,38,19,7,0
650+2i,633+3i,550+3i,470+2i,363+2i,229+2i,127+2i,61+1i,21+1i,10,24,33-2i,31-1i,24-1i,28,24,22,23,30,46,60,71,76,81,72,74,69,54,36,34,1
669,655+1i,563+2i,474+2i,369+2i,248+1i,150,71,24,22,27-3i,41,49,63,75,92,104,115,113,130,121,104,101,95,79,78,101,68,74,72,4
673,662,581,503+1i,390+1i,257+1i,153-1i,86-2i,44-3i,22-3i,43,55,50,65,77,98,119,118,128,131,144,143,140,131,121,111,101,104,84,78,6
676,668+1i,585+1i,505,409,289,196+1i,124+1i,76+1i,62,60,71,106,127,137,145,135,129,132,138,144,164,171,134,126,128,106,118,135,120,8
679,675,602,530+1i,432+1i,302+1i,201,138,89,63,96,129,154,155,170,158,139,134,133,139,149,187,184,198,201,163,142,162,147,141,34
686+2i,687+2i,617+2i,548+2i,457+2i,344+1i,240+1i,172,141,132,146,177,156,170,178,171,168,176,178,174,215,210,224,239,232,196,185,162,177,186,105
691+5i,697+3i,631+2i,557+2i,462+1i,345+1i,256+1i,202+1i,164,160,172,178,193,195,199,187,227,239,248,247,235,230,245,266,236,212,188,163,205,247,141
700,714,644,573,478,358,276,204,171,166,182,181,195,199,206,215,232,256,272,295,323,332,320,289,290,347,423,521,461,444,301
706,728,652,582,487,364,280,208+1i,173,171,184,197,200,215,222,227,236,269,284,304,326,357,383,449,521,600,683,778,863,951,443
716,742+1i,698+2i,651+2i,577+2i,442+2i,301+1i,235,201,180,206,199,208,216,231,247,257,279,301,329,402,453,507,617,681,686,790,966,1219,1409,1052
736+5i,768+3i,718+2i,663+2i,578+1i,465+1i,366+1i,311+1i,261+1i,231,226,256,274,309,347,379,437,493,540,587,653,678,705,690,733,842,964,1002,1255,1503,1601
787+2i,818+4i,766+4i,695+4i,583+3i,476+2i,393+2i,316+1i,266+1i,247,256,270,295,327,350,390,437,503,570,594,669,680,717,902,958,1009,1082,1110,1485,1540,1840
823,873+1i,845+2i,810+3i,738+3i,633+3i,541+2i,446+2i,390+1i,363,367,381,403,419,408,455,503,533,576,657,744,820,897,925,1207,1290,1094,1237,1660,1764,2118
878+5i,938+5i,912+5i,862+5i,774+4i,652+3i,541+3i,464+1i,414+1i,394,404,420,438,454,473,484,567,665,612,670,773,884,997,1115,1218,1341,1487,1602,1793,2045,2404
967+5i,1041+5i,1018+5i,988+5i,912+5i,787+15i,681+3i,615+2i,554+1i,525,503,465,443,470,511,574,642,690,789,866,955,1059,1167,1289,1423,1478,1555,1666,1856,2115,2819
1049+5i,1128+11i,1057+16i,1010+20i,918+19i,793+4i,701+3i,658+2i,593+1i,554,553,538,540,606,642,639,645,721,824,968,1102,1218,1346,1495,1522,1498,1843,2097,1885,2493,3301
1177+5i,1273+5i,1244+5i,1144+5i,991+5i,801+4i,722+10i,660+5i,659+1i,695,717,722,747,786,835,896,971,1061,1160,1284,1466,1641,1845,1815,1662,1847,2066,2313,2607,2912,4592
1278+5i,1377+5i,1274+5i,1263+5i,1201+5i,1091+4i,980+3i,872+2i,785+1i,730,776,836,872,921,978,987,1013,1068,1174,1314,1542,1827,2132,2454,2800,3155,3545,3972,4452,4943,5496
