"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","point",NA,33213
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.01,31815
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.025,32101
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.05,32340
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.1,32629
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.15,32784
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.2,32874
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.25,32954
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.3,33025
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.35,33082
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.4,33139
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.45,33171
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.5,33213
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.55,33263
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.6,33320
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.65,33396
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.7,33512
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.75,33627
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.8,33782
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.85,34006
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.9,34268
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.95,34598
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.975,34859
"2020-06-21","1 wk ahead cum case",2020-06-27,"01","quantile",0.99,35210
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","point",NA,36369
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.01,34215
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.025,34578
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.05,34844
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.1,35150
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.15,35363
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.2,35564
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.25,35692
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.3,35808
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.35,35920
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.4,36049
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.45,36195
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.5,36369
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.55,36605
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.6,36908
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.65,37198
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.7,37494
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.75,37787
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.8,38117
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.85,38586
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.9,39170
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.95,39897
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.975,40900
"2020-06-21","2 wk ahead cum case",2020-07-04,"01","quantile",0.99,41820
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","point",NA,39686
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.01,35978
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.025,36256
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.05,36491
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.1,36820
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.15,37186
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.2,37399
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.25,37557
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.3,37771
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.35,38078
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.4,38443
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.45,39041
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.5,39686
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.55,40312
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.6,40878
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.65,41378
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.7,41928
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.75,42497
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.8,43271
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.85,44173
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.9,45267
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.95,46601
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.975,48218
"2020-06-21","3 wk ahead cum case",2020-07-11,"01","quantile",0.99,50363
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","point",NA,43299
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.01,36837
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.025,37177
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.05,37402
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.1,37806
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.15,38228
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.2,38523
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.25,38773
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.3,39165
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.35,39738
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.4,40879
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.45,42010
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.5,43299
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.55,44097
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.6,44976
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.65,46052
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.7,47132
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.75,48097
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.8,49048
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.85,50269
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.9,51693
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.95,53698
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.975,55963
"2020-06-21","4 wk ahead cum case",2020-07-18,"01","quantile",0.99,58723
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","point",NA,3772
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.01,2425
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.025,2658
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.05,2898
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.1,3213
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.15,3363
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.2,3450
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.25,3523
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.3,3592
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.35,3649
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.4,3704
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.45,3733
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.5,3772
"2020-06-21","1 wk ahead inc case",2020-06-27,"01","quantile",0.55,3824
