"location","target","predicted_value","truth","error","truth_zero","relative_error","forecast_date","target_end_date"
"AL","1 wk ahead cum case",8166,7611,-555,6421,-0.466386554621849,"2020-04-26","2020-05-02"
"AL","1 wk ahead cum death",273,288,15,219,0.217391304347826,"2020-04-26","2020-05-02"
"AL","2 wk ahead cum case",11228,9668,-1560,6421,-0.480443486295042,"2020-04-26","2020-05-09"
"AL","2 wk ahead cum death",347,390,43,219,0.251461988304094,"2020-04-26","2020-05-09"
"AL","3 wk ahead cum case",17237,11674,-5563,6421,-1.05901389682086,"2020-04-26","2020-05-16"
"AL","3 wk ahead cum death",446,485,39,219,0.146616541353383,"2020-04-26","2020-05-16"
"AL","4 wk ahead cum case",27982,14117,-13865,6421,-1.80158523908524,"2020-04-26","2020-05-23"
"AL","4 wk ahead cum death",618,549,-69,219,-0.209090909090909,"2020-04-26","2020-05-23"
"AK","1 wk ahead cum case",351,365,14,340,0.56,"2020-04-26","2020-05-02"
"AK","1 wk ahead cum death",9,9,0,9,0,"2020-04-26","2020-05-02"
"AK","2 wk ahead cum case",367,378,11,340,0.289473684210526,"2020-04-26","2020-05-09"
"AK","2 wk ahead cum death",10,10,0,9,0,"2020-04-26","2020-05-09"
"AK","3 wk ahead cum case",398,388,-10,340,-0.208333333333333,"2020-04-26","2020-05-16"
"AK","3 wk ahead cum death",11,10,-1,9,-1,"2020-04-26","2020-05-16"
"AK","4 wk ahead cum case",465,407,-58,340,-0.865671641791045,"2020-04-26","2020-05-23"
"AK","4 wk ahead cum death",13,10,-3,9,-3,"2020-04-26","2020-05-23"
"AZ","1 wk ahead cum case",8193,8364,171,6534,0.0934426229508197,"2020-04-26","2020-05-02"
"AZ","1 wk ahead cum death",346,330,-16,275,-0.290909090909091,"2020-04-26","2020-05-02"
"AZ","2 wk ahead cum case",10779,10960,181,6534,0.0408947130591957,"2020-04-26","2020-05-09"
"AZ","2 wk ahead cum death",447,532,85,275,0.330739299610895,"2020-04-26","2020-05-09"
"AZ","3 wk ahead cum case",14811,13666,-1145,6534,-0.16054402692092,"2020-04-26","2020-05-16"
"AZ","3 wk ahead cum death",570,679,109,275,0.26980198019802,"2020-04-26","2020-05-16"
"AZ","4 wk ahead cum case",22656,16053,-6603,6534,-0.693665300976993,"2020-04-26","2020-05-23"
"AZ","4 wk ahead cum death",777,801,24,275,0.0456273764258555,"2020-04-26","2020-05-23"
"AR","1 wk ahead cum case",4058,3372,-686,3001,-1.84905660377358,"2020-04-26","2020-05-02"
"AR","1 wk ahead cum death",61,72,11,51,0.523809523809524,"2020-04-26","2020-05-02"
"AR","2 wk ahead cum case",5838,3747,-2091,3001,-2.8029490616622,"2020-04-26","2020-05-09"
"AR","2 wk ahead cum death",77,88,11,51,0.297297297297297,"2020-04-26","2020-05-09"
"AR","3 wk ahead cum case",9253,4578,-4675,3001,-2.96448953709575,"2020-04-26","2020-05-16"
"AR","3 wk ahead cum death",98,98,0,51,0,"2020-04-26","2020-05-16"
"AR","4 wk ahead cum case",16011,5775,-10236,3001,-3.68997837058399,"2020-04-26","2020-05-23"
"AR","4 wk ahead cum death",126,115,-11,51,-0.171875,"2020-04-26","2020-05-23"
"CA","1 wk ahead cum case",54552,53347,-1205,43558,-0.123097354173051,"2020-04-26","2020-05-02"
"CA","1 wk ahead cum death",2231,2180,-51,1725,-0.112087912087912,"2020-04-26","2020-05-02"
"CA","2 wk ahead cum case",72853,66558,-6295,43558,-0.273695652173913,"2020-04-26","2020-05-09"
"CA","2 wk ahead cum death",2899,2687,-212,1725,-0.22037422037422,"2020-04-26","2020-05-09"
"CA","3 wk ahead cum case",102025,78725,-23300,43558,-0.662552961583303,"2020-04-26","2020-05-16"
"CA","3 wk ahead cum death",3680,3208,-472,1725,-0.318273769386379,"2020-04-26","2020-05-16"
"CA","4 wk ahead cum case",158618,92539,-66079,43558,-1.34907413078541,"2020-04-26","2020-05-23"
"CA","4 wk ahead cum death",4880,3738,-1142,1725,-0.567312468951813,"2020-04-26","2020-05-23"
"CO","1 wk ahead cum case",18071,16225,-1846,13441,-0.663074712643678,"2020-04-26","2020-05-02"
"CO","1 wk ahead cum death",877,832,-45,688,-0.3125,"2020-04-26","2020-05-02"
"CO","2 wk ahead cum case",27367,19375,-7992,13441,-1.34681496461072,"2020-04-26","2020-05-09"
