"location","target","predicted_value","truth","error","truth_zero","relative_error","forecast_date","target_end_date"
"AL","1 wk ahead cum death",287.066682732672,288,0.933317267327993,219,0.0135263372076521,"2020-04-26","2020-05-02"
"AL","2 wk ahead cum death",355.236411552693,390,34.763588447307,219,0.20329583887314,"2020-04-26","2020-05-09"
"AL","3 wk ahead cum death",420.315497306502,485,64.684502693498,219,0.243174822156008,"2020-04-26","2020-05-16"
"AL","4 wk ahead cum death",482.585861002199,549,66.414138997801,219,0.201254966660003,"2020-04-26","2020-05-23"
"AK","1 wk ahead cum death",11.8693661557889,9,-2.8693661557889,9,-2.8693661557889,"2020-04-26","2020-05-02"
"AK","2 wk ahead cum death",13.2024265176199,10,-3.2024265176199,9,-3.2024265176199,"2020-04-26","2020-05-09"
"AK","3 wk ahead cum death",14.544775524155,10,-4.544775524155,9,-4.544775524155,"2020-04-26","2020-05-16"
"AK","4 wk ahead cum death",16.9516902490059,10,-6.9516902490059,9,-6.9516902490059,"2020-04-26","2020-05-23"
"AZ","1 wk ahead cum death",364.105842987966,330,-34.105842987966,275,-0.620106236144837,"2020-04-26","2020-05-02"
"AZ","2 wk ahead cum death",460.09327485854,532,71.90672514146,275,0.279792704830584,"2020-04-26","2020-05-09"
"AZ","3 wk ahead cum death",561.79027954265,679,117.20972045735,275,0.290123070438985,"2020-04-26","2020-05-16"
"AZ","4 wk ahead cum death",650.010925491811,801,150.989074508189,275,0.287051472449029,"2020-04-26","2020-05-23"
"AR","1 wk ahead cum death",74.1975189816914,72,-2.1975189816914,51,-0.104643761032924,"2020-04-26","2020-05-02"
"AR","2 wk ahead cum death",97.2679422818166,88,-9.2679422818166,51,-0.250484926535584,"2020-04-26","2020-05-09"
"AR","3 wk ahead cum death",124.766839972305,98,-26.766839972305,51,-0.569507233453298,"2020-04-26","2020-05-16"
"AR","4 wk ahead cum death",158.962215943994,115,-43.962215943994,51,-0.686909624124906,"2020-04-26","2020-05-23"
"CA","1 wk ahead cum death",2232.11570198434,2180,-52.1157019843399,1725,-0.114540004361187,"2020-04-26","2020-05-02"
"CA","2 wk ahead cum death",2828.07101119305,2687,-141.07101119305,1725,-0.146643462778638,"2020-04-26","2020-05-09"
"CA","3 wk ahead cum death",3381.62213218828,3208,-173.62213218828,1725,-0.117074937416237,"2020-04-26","2020-05-16"
"CA","4 wk ahead cum death",3897.14230012925,3738,-159.14230012925,1725,-0.0790572777591903,"2020-04-26","2020-05-23"
"CO","1 wk ahead cum death",884.943295520147,832,-52.943295520147,688,-0.367661774445465,"2020-04-26","2020-05-02"
"CO","2 wk ahead cum death",1125.1003598772,967,-158.1003598772,688,-0.566667956549104,"2020-04-26","2020-05-09"
"CO","3 wk ahead cum death",1370.27075471981,1192,-178.27075471981,688,-0.353711814920258,"2020-04-26","2020-05-16"
"CO","4 wk ahead cum death",1602.93327983083,1327,-275.93327983083,688,-0.431820469218826,"2020-04-26","2020-05-23"
"CT","1 wk ahead cum death",2545.64079412688,2436,-109.64079412688,1924,-0.214142176029063,"2020-04-26","2020-05-02"
"CT","2 wk ahead cum death",3182.87809791051,2932,-250.87809791051,1924,-0.248887001895348,"2020-04-26","2020-05-09"
"CT","3 wk ahead cum death",3755.04909314448,3339,-416.04909314448,1924,-0.294027627663944,"2020-04-26","2020-05-16"
"CT","4 wk ahead cum death",4227.62799591935,3675,-552.62799591935,1924,-0.31560707933715,"2020-04-26","2020-05-23"
"DE","1 wk ahead cum death",177.128776524216,168,-9.12877652421599,120,-0.1901828442545,"2020-04-26","2020-05-02"
