"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease","hospitalizedCurrently"
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,6,0,6,0,0,0,0
2020-03-13,9,0,3,0,0,0,0
2020-03-14,12,0,3,0,0,0,0
2020-03-15,16,0,4,0,0,0,0
2020-03-16,22,0,6,0,0,0,0
2020-03-17,22,0,0,0,0,0,0
2020-03-18,33,0,11,0,0,0,0
2020-03-19,46,0,13,0,0,0,0
2020-03-20,96,0,50,0,0,0,0
2020-03-21,118,0,22,0,0,0,0
2020-03-22,165,0,47,0,0,0,13
2020-03-23,174,0,9,0,0,0,13
2020-03-24,218,0,44,0,0,0,22
2020-03-25,280,2,62,2,0,0,22
2020-03-26,335,3,55,1,0,0,41
2020-03-27,381,3,46,0,0,0,48
2020-03-28,404,5,23,2,0,0,48
2020-03-29,426,6,22,1,0,0,43
2020-03-30,473,7,47,1,0,0,62
2020-03-31,523,8,50,1,0,0,64
2020-04-01,584,10,61,2,90,90,56
2020-04-02,643,12,59,2,100,10,66
2020-04-03,704,12,61,0,105,5,71
2020-04-04,743,14,39,2,106,1,72
2020-04-05,830,16,87,2,130,24,67
2020-04-06,875,16,45,0,137,7,74
2020-04-07,946,16,71,0,148,11,74
2020-04-08,1000,18,54,2,130,-18,76
2020-04-09,1119,21,119,3,130,0,73
2020-04-10,1171,23,52,2,130,0,86
2020-04-11,1226,24,55,1,130,0,86
2020-04-12,1280,27,54,3,130,0,74
2020-04-13,1410,30,130,3,130,0,74
2020-04-14,1480,30,70,0,130,0,81
2020-04-15,1569,33,89,3,130,0,83
2020-04-16,1620,37,51,4,0,-130,85
2020-04-17,1695,37,75,0,0,0,83
2020-04-18,1739,38,44,1,291,291,86
2020-04-19,1781,40,42,2,291,0,88
2020-04-20,1923,42,142,2,291,0,93
2020-04-21,2227,43,304,1,291,0,86
2020-04-22,2276,42,49,-1,291,0,97
2020-04-23,2465,45,189,3,291,0,101
2020-04-24,2741,45,276,0,291,0,101
2020-04-25,2829,47,88,2,291,0,104
2020-04-26,2941,49,112,2,291,0,104
2020-04-27,3017,50,76,1,0,-291,109
2020-04-28,3111,52,94,2,0,0,104
2020-04-29,3192,59,81,7,389,389,93
2020-04-30,3255,61,63,2,402,13,95
2020-05-01,3321,64,66,3,414,12,95
2020-05-02,3372,73,51,9,414,0,95
2020-05-03,3431,76,59,3,427,13,100
2020-05-04,3458,81,27,5,438,11,91
2020-05-05,3496,83,38,2,453,15,89
2020-05-06,3568,85,72,2,453,0,69
2020-05-07,3611,87,43,2,462,9,69
2020-05-08,3694,88,83,1,466,4,70
2020-05-09,3747,88,53,0,471,5,64
2020-05-10,3747,88,0,0,471,0,64
2020-05-11,4034,94,287,6,480,9,61
2020-05-12,4164,95,130,1,485,5,59
2020-05-13,4164,95,0,0,497,12,59
2020-05-14,4236,97,72,2,509,12,64
2020-05-15,4463,98,227,1,520,11,65
2020-05-16,4578,98,115,0,520,0,65
2020-05-17,4759,98,181,0,520,0,65
2020-05-18,4813,100,54,2,530,10,77
2020-05-19,4923,102,110,2,535,5,78
2020-05-20,5003,107,80,5,535,0,78
2020-05-21,5458,110,455,3,535,0,78
2020-05-22,5612,113,154,3,584,49,86
2020-05-23,5612,113,0,0,590,6,81
2020-05-24,5922,116,310,3,598,8,86
