"date","positive","death","positiveIncrease","deathIncrease"
2020-08-11,25598,246,494,7
2020-08-12,26134,246,536,0
2020-08-13,26629,251,495,5
2020-08-14,27171,265,542,14
2020-08-15,27475,269,304,4
2020-08-16,27656,269,181,0
2020-08-17,27937,273,281,4
2020-08-18,28321,282,384,9
2020-08-19,28680,289,359,7
2020-08-20,29110,296,430,7
2020-08-21,29364,305,254,9
2020-08-22,29659,306,295,1
2020-08-23,29845,307,186,1
2020-08-24,30057,314,212,7
2020-08-25,30465,326,408,12
2020-08-26,30771,337,306,11
2020-08-27,31113,343,342,6
2020-08-28,31376,353,263,10
2020-08-29,31668,358,292,5
2020-08-30,31858,359,190,1
2020-08-31,32081,361,223,2
2020-09-01,32353,367,272,6
2020-09-02,32664,372,311,5
2020-09-03,32927,372,263,0
2020-09-04,33193,382,266,10
2020-09-05,33474,384,281,2
2020-09-06,33664,385,190,1
2020-09-07,33738,385,74,0
2020-09-08,33978,389,240,4
2020-09-09,34300,407,322,18
2020-09-10,34617,407,317,0
2020-09-11,34950,412,333,5
2020-09-12,35167,415,217,3
2020-09-13,35279,415,112,0
2020-09-14,35532,419,253,4
2020-09-15,35810,423,278,4
2020-09-16,36093,429,283,6
2020-09-17,36489,434,396,5
2020-09-18,36959,438,470,4
2020-09-19,37247,441,288,3
2020-09-20,37491,443,244,2
2020-09-21,37901,447,410,4
2020-09-22,38347,451,446,4
2020-09-23,38743,454,396,3
2020-09-24,39234,457,491,3
2020-09-25,39757,458,523,1
2020-09-26,40296,460,539,2
2020-09-27,40501,460,205,0
2020-09-28,40923,460,422,0
2020-09-29,41434,464,511,4
2020-09-30,42048,469,614,5
2020-10-01,42561,472,513,3
2020-10-02,43238,474,677,2
2020-10-03,43702,480,464,6
2020-10-04,43964,482,262,2
2020-10-05,44422,487,458,5
2020-10-06,45082,492,660,5
2020-10-07,45753,500,671,8
2020-10-08,46426,503,673,3
2020-10-09,47088,506,662,3
2020-10-10,47701,507,613,1
2020-10-11,48066,507,365,0
2020-10-12,48663,510,597,3
2020-10-13,49247,512,584,2
2020-10-14,49892,516,645,4
2020-10-15,50610,517,718,1
2020-10-16,51704,523,1094,6
2020-10-17,52582,529,878,6
2020-10-18,53092,528,510,-1
2020-10-19,53790,531,698,3
2020-10-20,54663,535,873,4
2020-10-21,55650,546,987,11
2020-10-22,56600,553,950,7
2020-10-23,57673,562,1073,9
2020-10-24,58694,572,1021,10
2020-10-25,59344,573,650,1
2020-10-26,60041,580,697,7
2020-10-27,60923,585,882,5
2020-10-28,61785,599,862,14
2020-10-29,62746,615,961,16
2020-10-30,63810,626,1064,11
2020-10-31,64608,629,798,3
2020-11-01,65088,630,480,1
2020-11-02,65845,632,757,2
2020-11-03,67024,647,1179,15
2020-11-04,68314,664,1290,17
2020-11-05,69579,671,1265,7
2020-11-06,70909,679,1330,8
2020-11-07,72312,683,1403,4
2020-11-08,72961,686,649,3
2020-11-09,74227,698,1266,12
2020-11-10,75428,714,1201,16
2020-11-11,77121,733,1693,19
2020-11-12,78279,749,1158,16
2020-11-13,79798,752,1519,3
2020-11-14,81317,759,1519,7
2020-11-15,82245,759,928,0
2020-11-16,83344,763,1099,4
2020-11-17,85125,798,1781,35
2020-11-18,86435,812,1310,14
2020-11-19,87978,835,1543,23
2020-11-20,89764,845,1786,10
2020-11-21,90834,847,1070,2
2020-11-22,91653,849,819,2
2020-11-23,93090,866,1437,17
2020-11-24,94730,874,1640,8
2020-11-25,96503,895,1773,21
2020-11-26,96503,895,0,0
2020-11-27,98500,909,1997,14
