"date","positive","death","positiveIncrease","deathIncrease"
2020-08-12,15509,592,60,1
2020-08-13,15709,593,200,1
2020-08-14,16080,593,371,0
2020-08-15,16137,593,57,0
2020-08-16,16190,593,53,0
2020-08-17,16273,593,83,0
2020-08-18,16329,593,56,0
2020-08-19,16379,595,50,2
2020-08-20,16451,595,72,0
2020-08-21,16501,600,50,5
2020-08-22,16556,600,55,0
2020-08-23,16622,600,66,0
2020-08-24,16667,604,45,4
2020-08-25,16685,603,18,-1
2020-08-26,16710,604,25,1
2020-08-27,16701,604,-9,0
2020-08-28,16804,604,103,0
2020-08-29,17071,604,267,0
2020-08-30,17064,604,-7,0
2020-08-31,17144,605,80,1
2020-09-01,17246,605,102,0
2020-09-02,17259,606,13,1
2020-09-03,17361,606,102,0
2020-09-04,17458,606,97,0
2020-09-05,17589,608,131,2
2020-09-06,17709,609,120,1
2020-09-07,17796,609,87,0
2020-09-08,17853,609,57,0
2020-09-09,17853,609,0,0
2020-09-10,18005,613,152,4
2020-09-11,18098,613,93,0
2020-09-12,18262,613,164,0
2020-09-13,18384,615,122,2
