"date","positive","death","positiveIncrease","deathIncrease"
2020-07-31,181012,15819,688,10
2020-08-01,181373,15830,361,11
2020-08-02,181676,15836,303,6
2020-08-03,181942,15846,266,10
2020-08-04,182326,15857,384,11
2020-08-05,182687,15842,361,-15
2020-08-06,183059,15849,372,7
2020-08-07,183408,15849,349,0
2020-08-08,183787,15869,379,20
2020-08-09,184127,15874,340,5
2020-08-10,184386,15878,259,4
2020-08-11,184815,15890,429,12
2020-08-12,185198,15885,383,-5
2020-08-13,185655,15893,457,8
2020-08-14,186163,15903,508,10
2020-08-15,186669,15910,506,7
2020-08-16,187013,15912,344,2
2020-08-17,187341,15916,328,4
2020-08-18,187696,15925,355,9
2020-08-19,188049,15926,353,1
2020-08-20,188203,15932,154,6
2020-08-21,188489,15941,286,9
2020-08-22,188919,15943,430,2
2020-08-23,189175,15946,256,3
2020-08-24,189401,15946,226,0
2020-08-25,189711,15953,310,7
2020-08-26,190009,15914,298,-39
2020-08-27,190312,15921,303,7
2020-08-28,190643,15930,331,9
2020-08-29,190983,15933,340,3
2020-08-30,191247,15937,264,4
2020-08-31,191592,15945,345,8
2020-09-01,191974,15950,382,5
2020-09-02,192291,15964,317,14
2020-09-03,192668,15971,377,7
2020-09-04,193115,15978,447,7
2020-09-05,193440,15985,325,7
2020-09-06,193750,15989,310,4
2020-09-07,194086,15991,336,2
2020-09-08,194360,15996,274,5
2020-09-09,194691,16008,331,12
2020-09-10,195106,16014,415,6
2020-09-11,195575,16023,469,9
2020-09-12,196031,16027,456,4
2020-09-13,196323,16031,292,4
