"location","target","predicted_value","truth","error","truth_zero","relative_error","forecast_date","target_end_date"
"AL","1 wk ahead cum case",7477,7434,-43,6270,-0.0369415807560137,"2020-04-26","2020-05-02"
"AL","1 wk ahead cum death",261,288,27,216,0.375,"2020-04-26","2020-05-02"
"AL","2 wk ahead cum case",9110,9567,457,6270,0.138610858356081,"2020-04-26","2020-05-09"
"AL","2 wk ahead cum death",316,388,72,216,0.418604651162791,"2020-04-26","2020-05-09"
"AL","3 wk ahead cum case",11184,11523,339,6270,0.0645345516847516,"2020-04-26","2020-05-16"
"AL","3 wk ahead cum death",389,485,96,216,0.356877323420074,"2020-04-26","2020-05-16"
"AL","4 wk ahead cum case",13929,13938,9,6270,0.00117370892018779,"2020-04-26","2020-05-23"
"AL","4 wk ahead cum death",486,546,60,216,0.181818181818182,"2020-04-26","2020-05-23"
"AK","1 wk ahead cum case",354,365,11,341,0.458333333333333,"2020-04-26","2020-05-02"
"AK","1 wk ahead cum death",10,9,-1,9,-1,"2020-04-26","2020-05-02"
"AK","2 wk ahead cum case",370,378,8,341,0.216216216216216,"2020-04-26","2020-05-09"
"AK","2 wk ahead cum death",10,10,0,9,0,"2020-04-26","2020-05-09"
"AK","3 wk ahead cum case",398,392,-6,341,-0.117647058823529,"2020-04-26","2020-05-16"
"AK","3 wk ahead cum death",12,10,-2,9,-2,"2020-04-26","2020-05-16"
"AK","4 wk ahead cum case",453,408,-45,341,-0.671641791044776,"2020-04-26","2020-05-23"
"AK","4 wk ahead cum death",13,10,-3,9,-3,"2020-04-26","2020-05-23"
"AZ","1 wk ahead cum case",8043,8364,321,6526,0.174646354733406,"2020-04-26","2020-05-02"
"AZ","1 wk ahead cum death",349,348,-1,275,-0.0136986301369863,"2020-04-26","2020-05-02"
"AZ","2 wk ahead cum case",9937,10960,1023,6526,0.230717185385656,"2020-04-26","2020-05-09"
"AZ","2 wk ahead cum death",449,532,83,275,0.32295719844358,"2020-04-26","2020-05-09"
"AZ","3 wk ahead cum case",12317,13631,1314,6526,0.18494018296974,"2020-04-26","2020-05-16"
"AZ","3 wk ahead cum death",567,679,112,275,0.277227722772277,"2020-04-26","2020-05-16"
"AZ","4 wk ahead cum case",15470,16039,569,6526,0.0598128876274572,"2020-04-26","2020-05-23"
"AZ","4 wk ahead cum death",706,799,93,275,0.177480916030534,"2020-04-26","2020-05-23"
"AR","1 wk ahead cum case",3936,3372,-564,2941,-1.30858468677494,"2020-04-26","2020-05-02"
"AR","1 wk ahead cum death",63,73,10,49,0.416666666666667,"2020-04-26","2020-05-02"
"AR","2 wk ahead cum case",5392,3747,-1645,2941,-2.0409429280397,"2020-04-26","2020-05-09"
"AR","2 wk ahead cum death",87,88,1,49,0.0256410256410256,"2020-04-26","2020-05-09"
"AR","3 wk ahead cum case",7393,4578,-2815,2941,-1.71960904092853,"2020-04-26","2020-05-16"
"AR","3 wk ahead cum death",115,98,-17,49,-0.346938775510204,"2020-04-26","2020-05-16"
"AR","4 wk ahead cum case",11020,5612,-5408,2941,-2.02470984649944,"2020-04-26","2020-05-23"
"AR","4 wk ahead cum death",151,113,-38,49,-0.59375,"2020-04-26","2020-05-23"
"CA","1 wk ahead cum case",51116,52197,1081,42164,0.107744443336988,"2020-04-26","2020-05-02"
"CA","1 wk ahead cum death",2195,2171,-24,1710,-0.052060737527115,"2020-04-26","2020-05-02"
"CA","2 wk ahead cum case",60839,64561,3722,42164,0.166182970933607,"2020-04-26","2020-05-09"
"CA","2 wk ahead cum death",2906,2678,-228,1710,-0.235537190082645,"2020-04-26","2020-05-09"
"CA","3 wk ahead cum case",71695,76793,5098,42164,0.147217649946577,"2020-04-26","2020-05-16"
"CA","3 wk ahead cum death",3609,3204,-405,1710,-0.271084337349398,"2020-04-26","2020-05-16"
"CA","4 wk ahead cum case",86478,90631,4153,42164,0.0856871685889368,"2020-04-26","2020-05-23"
"CA","4 wk ahead cum death",4231,3708,-523,1710,-0.261761761761762,"2020-04-26","2020-05-23"
"CO","1 wk ahead cum case",17041,15768,-1273,12968,-0.454642857142857,"2020-04-26","2020-05-02"
"CO","1 wk ahead cum death",953,820,-133,672,-0.898648648648649,"2020-04-26","2020-05-02"
"CO","2 wk ahead cum case",23139,18827,-4312,12968,-0.735961768219833,"2020-04-26","2020-05-09"
"CO","2 wk ahead cum death",1422,960,-462,672,-1.60416666666667,"2020-04-26","2020-05-09"
"CO","3 wk ahead cum case",31631,21232,-10399,12968,-1.25834946757018,"2020-04-26","2020-05-16"
"CO","3 wk ahead cum death",2148,878,-1270,672,-6.16504854368932,"2020-04-26","2020-05-16"
"CO","4 wk ahead cum case",44421,23487,-20934,12968,-1.99011312862439,"2020-04-26","2020-05-23"
"CO","4 wk ahead cum death",3277,1088,-2189,672,-5.26201923076923,"2020-04-26","2020-05-23"
"CT","1 wk ahead cum case",30283,28764,-1519,25269,-0.434620886981402,"2020-04-26","2020-05-02"
"CT","1 wk ahead cum death",2590,2339,-251,1924,-0.604819277108434,"2020-04-26","2020-05-02"
"CT","2 wk ahead cum case",35847,32984,-2863,25269,-0.371095268956578,"2020-04-26","2020-05-09"
"CT","2 wk ahead cum death",3319,2932,-387,1924,-0.383928571428571,"2020-04-26","2020-05-09"
"CT","3 wk ahead cum case",41225,36703,-4522,25269,-0.395487143606787,"2020-04-26","2020-05-16"
"CT","3 wk ahead cum death",3956,3339,-617,1924,-0.436042402826855,"2020-04-26","2020-05-16"
"CT","4 wk ahead cum case",47427,40022,-7405,25269,-0.501931810479225,"2020-04-26","2020-05-23"
"CT","4 wk ahead cum death",4535,3675,-860,1924,-0.49114791547687,"2020-04-26","2020-05-23"
"DE","1 wk ahead cum case",5968,5038,-930,4034,-0.926294820717131,"2020-04-26","2020-05-02"
"DE","1 wk ahead cum death",246,235,-11,168,-0.164179104477612,"2020-04-26","2020-05-02"
"DE","2 wk ahead cum case",9175,6277,-2898,4034,-1.29201961658493,"2020-04-26","2020-05-09"
"DE","2 wk ahead cum death",374,301,-73,168,-0.548872180451128,"2020-04-26","2020-05-09"
"DE","3 wk ahead cum case",14084,7547,-6537,4034,-1.86080273270709,"2020-04-26","2020-05-16"
"DE","3 wk ahead cum death",560,383,-177,168,-0.823255813953488,"2020-04-26","2020-05-16"
"DE","4 wk ahead cum case",22081,8690,-13391,4034,-2.87607388316151,"2020-04-26","2020-05-23"
"DE","4 wk ahead cum death",794,425,-369,168,-1.43579766536965,"2020-04-26","2020-05-23"
"DC","1 wk ahead cum case",4732,4797,65,3841,0.0679916317991632,"2020-04-26","2020-05-02"
"DC","1 wk ahead cum death",252,240,-12,178,-0.193548387096774,"2020-04-26","2020-05-02"
"DC","2 wk ahead cum case",5801,6102,301,3841,0.13312693498452,"2020-04-26","2020-05-09"
"DC","2 wk ahead cum death",350,311,-39,178,-0.293233082706767,"2020-04-26","2020-05-09"
"DC","3 wk ahead cum case",7180,7042,-138,3841,-0.0431115276476101,"2020-04-26","2020-05-16"
"DC","3 wk ahead cum death",455,375,-80,178,-0.406091370558376,"2020-04-26","2020-05-16"
"DC","4 wk ahead cum case",9099,7966,-1133,3841,-0.274666666666667,"2020-04-26","2020-05-23"
"DC","4 wk ahead cum death",559,427,-132,178,-0.530120481927711,"2020-04-26","2020-05-23"
"FL","1 wk ahead cum case",34981,34209,-772,30405,-0.202944269190326,"2020-04-26","2020-05-02"
