"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","point",NA,21184
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.01,20206
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.025,20333
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.05,20448
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.1,20626
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.15,20759
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.2,20851
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.25,20924
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.3,20991
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.35,21039
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.4,21099
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.45,21137
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.5,21184
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.55,21227
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.6,21280
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.65,21351
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.7,21409
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.75,21461
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.8,21505
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.85,21562
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.9,21658
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.95,21831
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.975,21992
"2020-05-31","1 wk ahead cum case",2020-06-06,"01","quantile",0.99,22121
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","point",NA,25176
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.01,22016
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.025,22355
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.05,22728
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.1,23619
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.15,23943
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.2,24202
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.25,24448
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.3,24625
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.35,24760
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.4,24896
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.45,25027
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.5,25176
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.55,25331
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.6,25496
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.65,25651
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.7,25799
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.75,26043
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.8,26313
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.85,26511
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.9,26666
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.95,27004
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.975,27568
"2020-05-31","2 wk ahead cum case",2020-06-13,"01","quantile",0.99,28413
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","point",NA,29278
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.01,23210
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.025,23872
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.05,24528
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.1,26221
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.15,26837
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.2,27514
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.25,27827
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.3,28125
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.35,28379
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.4,28662
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.45,28989
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.5,29278
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.55,29576
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.6,29942
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.65,30264
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.7,30678
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.75,31098
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.8,31642
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.85,32377
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.9,32817
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.95,33251
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.975,34352
"2020-05-31","3 wk ahead cum case",2020-06-20,"01","quantile",0.99,35994
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","point",NA,33826
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.01,23874
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.025,24764
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.05,25660
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.1,28032
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.15,29465
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.2,30304
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.25,30810
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.3,31319
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.35,32025
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.4,32691
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.45,33192
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.5,33826
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.55,34409
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.6,34955
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.65,35412
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.7,36125
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.75,36824
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.8,37596
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.85,38967
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.9,40420
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.95,41311
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.975,43190
"2020-05-31","4 wk ahead cum case",2020-06-27,"01","quantile",0.99,45240
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","point",NA,3806
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.01,2863
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.025,2980
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.05,3094
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.1,3253
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.15,3388
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.2,3475
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.25,3550
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.3,3614
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.35,3666
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.4,3723
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.45,3761
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.5,3806
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.55,3849
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.6,3901
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.65,3970
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.7,4023
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.75,4077
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.8,4119
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.85,4176
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.9,4269
"2020-05-31","1 wk ahead inc case",2020-06-06,"01","quantile",0.95,4436
