"location","target","predicted_value","truth","error","truth_zero","relative_error","forecast_date","target_end_date"
"AL","1 wk ahead cum death",284.066682732672,288,3.93331726732799,216,0.0546294064906666,"2020-04-26","2020-05-02"
"AL","2 wk ahead cum death",352.236411552693,388,35.763588447307,216,0.207927839809924,"2020-04-26","2020-05-09"
"AL","3 wk ahead cum death",417.315497306502,485,67.684502693498,216,0.251615251648692,"2020-04-26","2020-05-16"
"AL","4 wk ahead cum death",479.585861002199,546,66.414138997801,216,0.201254966660003,"2020-04-26","2020-05-23"
"AK","1 wk ahead cum death",11.8693661557889,9,-2.8693661557889,9,-2.8693661557889,"2020-04-26","2020-05-02"
"AK","2 wk ahead cum death",13.2024265176199,10,-3.2024265176199,9,-3.2024265176199,"2020-04-26","2020-05-09"
"AK","3 wk ahead cum death",14.544775524155,10,-4.544775524155,9,-4.544775524155,"2020-04-26","2020-05-16"
"AK","4 wk ahead cum death",16.9516902490059,10,-6.9516902490059,9,-6.9516902490059,"2020-04-26","2020-05-23"
"AZ","1 wk ahead cum death",364.105842987966,348,-16.105842987966,275,-0.220627986136521,"2020-04-26","2020-05-02"
"AZ","2 wk ahead cum death",460.09327485854,532,71.90672514146,275,0.279792704830584,"2020-04-26","2020-05-09"
"AZ","3 wk ahead cum death",561.79027954265,679,117.20972045735,275,0.290123070438985,"2020-04-26","2020-05-16"
"AZ","4 wk ahead cum death",650.010925491811,799,148.989074508189,275,0.284330294862956,"2020-04-26","2020-05-23"
"AR","1 wk ahead cum death",72.1975189816914,73,0.802481018308598,49,0.0334367090961916,"2020-04-26","2020-05-02"
"AR","2 wk ahead cum death",95.2679422818166,88,-7.2679422818166,49,-0.186357494405554,"2020-04-26","2020-05-09"
"AR","3 wk ahead cum death",122.766839972305,98,-24.766839972305,49,-0.50544571372051,"2020-04-26","2020-05-16"
"AR","4 wk ahead cum death",156.962215943994,113,-43.962215943994,49,-0.686909624124906,"2020-04-26","2020-05-23"
"CA","1 wk ahead cum death",2217.11570198434,2171,-46.1157019843399,1710,-0.100034060703557,"2020-04-26","2020-05-02"
"CA","2 wk ahead cum death",2813.07101119305,2678,-135.07101119305,1710,-0.139536168587861,"2020-04-26","2020-05-09"
"CA","3 wk ahead cum death",3366.62213218828,3204,-162.62213218828,1710,-0.108850155413842,"2020-04-26","2020-05-16"
"CA","4 wk ahead cum death",3882.14230012925,3708,-174.14230012925,1710,-0.087158308372998,"2020-04-26","2020-05-23"
