"location","target","predicted_value","truth","error","truth_zero","relative_error","forecast_date","target_end_date"
"DE","1 wk ahead cum death",198,168,-30,120,-0.625,"2020-04-26","2020-05-02"
"DE","2 wk ahead cum case",9175,6277,-2898,4034,-1.29201961658493,"2020-04-26","2020-05-09"
"DE","2 wk ahead cum death",326,221,-105,120,-1.03960396039604,"2020-04-26","2020-05-09"
"DE","3 wk ahead cum case",14084,7547,-6537,4034,-1.86080273270709,"2020-04-26","2020-05-16"
"DE","3 wk ahead cum death",512,286,-226,120,-1.36144578313253,"2020-04-26","2020-05-16"
"DE","4 wk ahead cum case",22081,8529,-13552,4034,-3.01490545050056,"2020-04-26","2020-05-23"
"DE","4 wk ahead cum death",746,322,-424,120,-2.0990099009901,"2020-04-26","2020-05-23"
"DC","1 wk ahead cum case",4732,4797,65,3841,0.0679916317991632,"2020-04-26","2020-05-02"
"DC","1 wk ahead cum death",252,240,-12,178,-0.193548387096774,"2020-04-26","2020-05-02"
"DC","2 wk ahead cum case",5801,6102,301,3841,0.13312693498452,"2020-04-26","2020-05-09"
"DC","2 wk ahead cum death",350,311,-39,178,-0.293233082706767,"2020-04-26","2020-05-09"
"DC","3 wk ahead cum case",7180,7042,-138,3841,-0.0431115276476101,"2020-04-26","2020-05-16"
"DC","3 wk ahead cum death",455,375,-80,178,-0.406091370558376,"2020-04-26","2020-05-16"
"DC","4 wk ahead cum case",9099,7966,-1133,3841,-0.274666666666667,"2020-04-26","2020-05-23"
"DC","4 wk ahead cum death",559,427,-132,178,-0.530120481927711,"2020-04-26","2020-05-23"
"FL","1 wk ahead cum case",36108,35463,-645,31532,-0.164080386670059,"2020-04-26","2020-05-02"
"FL","1 wk ahead cum death",1303,1364,61,1075,0.211072664359862,"2020-04-26","2020-05-02"
"FL","2 wk ahead cum case",41009,40001,-1008,31532,-0.119022316684378,"2020-04-26","2020-05-09"
"FL","2 wk ahead cum death",1558,1715,157,1075,0.2453125,"2020-04-26","2020-05-09"
"FL","3 wk ahead cum case",45500,44811,-689,31532,-0.0518864372317193,"2020-04-26","2020-05-16"
"FL","3 wk ahead cum death",1796,1964,168,1075,0.188976377952756,"2020-04-26","2020-05-16"
"FL","4 wk ahead cum case",50173,50127,-46,31532,-0.00247378327507394,"2020-04-26","2020-05-23"
"FL","4 wk ahead cum death",2039,2233,194,1075,0.167530224525043,"2020-04-26","2020-05-23"
"GA","1 wk ahead cum case",27259,28331,1072,23486,0.221259029927761,"2020-04-26","2020-05-02"
"GA","1 wk ahead cum death",1088,1177,89,916,0.340996168582375,"2020-04-26","2020-05-02"
"GA","2 wk ahead cum case",31491,32588,1097,23486,0.120522961986377,"2020-04-26","2020-05-09"
"GA","2 wk ahead cum death",1297,1403,106,916,0.217659137577002,"2020-04-26","2020-05-09"
"GA","3 wk ahead cum case",35956,37212,1256,23486,0.0915051726650153,"2020-04-26","2020-05-16"
"GA","3 wk ahead cum death",1543,1598,55,916,0.0806451612903226,"2020-04-26","2020-05-16"
"GA","4 wk ahead cum case",41857,42242,385,23486,0.0205267647686074,"2020-04-26","2020-05-23"
"GA","4 wk ahead cum death",1881,1822,-59,916,-0.065121412803532,"2020-04-26","2020-05-23"
"HI","1 wk ahead cum case",637,620,-17,606,-1.21428571428571,"2020-04-26","2020-05-02"
"HI","1 wk ahead cum death",16,16,0,14,0,"2020-04-26","2020-05-02"
"HI","2 wk ahead cum case",691,631,-60,606,-2.4,"2020-04-26","2020-05-09"
"HI","2 wk ahead cum death",17,17,0,14,0,"2020-04-26","2020-05-09"
"HI","3 wk ahead cum case",785,639,-146,606,-4.42424242424242,"2020-04-26","2020-05-16"
"HI","3 wk ahead cum death",21,17,-4,14,-1.33333333333333,"2020-04-26","2020-05-16"
"HI","4 wk ahead cum case",964,643,-321,606,-8.67567567567568,"2020-04-26","2020-05-23"
"HI","4 wk ahead cum death",27,17,-10,14,-3.33333333333333,"2020-04-26","2020-05-23"
"ID","1 wk ahead cum case",2095,2061,-34,1897,-0.207317073170732,"2020-04-26","2020-05-02"
"ID","1 wk ahead cum death",64,64,0,56,0,"2020-04-26","2020-05-02"
"ID","2 wk ahead cum case",2436,2205,-231,1897,-0.75,"2020-04-26","2020-05-09"
"ID","2 wk ahead cum death",75,67,-8,56,-0.727272727272727,"2020-04-26","2020-05-09"
"ID","3 wk ahead cum case",3042,2419,-623,1897,-1.19348659003831,"2020-04-26","2020-05-16"
"ID","3 wk ahead cum death",89,73,-16,56,-0.941176470588235,"2020-04-26","2020-05-16"
"ID","4 wk ahead cum case",4356,2595,-1761,1897,-2.52292263610315,"2020-04-26","2020-05-23"
"ID","4 wk ahead cum death",113,79,-34,56,-1.47826086956522,"2020-04-26","2020-05-23"
"IL","1 wk ahead cum case",57004,58505,1501,43903,0.102794137789344,"2020-04-26","2020-05-02"
"IL","1 wk ahead cum death",2591,2559,-32,1933,-0.0511182108626198,"2020-04-26","2020-05-02"
"IL","2 wk ahead cum case",72680,76085,3405,43903,0.1058044869803,"2020-04-26","2020-05-09"
"IL","2 wk ahead cum death",3530,3349,-181,1933,-0.127824858757062,"2020-04-26","2020-05-09"
"IL","3 wk ahead cum case",92563,92457,-106,43903,-0.00218313630184949,"2020-04-26","2020-05-16"
"IL","3 wk ahead cum death",4579,4129,-450,1933,-0.204918032786885,"2020-04-26","2020-05-16"
"IL","4 wk ahead cum case",119943,107796,-12147,43903,-0.190114723052604,"2020-04-26","2020-05-23"
"IL","4 wk ahead cum death",5979,4790,-1189,1933,-0.416170808540427,"2020-04-26","2020-05-23"
"IN","1 wk ahead cum case",18677,19295,618,15012,0.144291384543544,"2020-04-26","2020-05-02"
